Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.70446,50.96322,0.50000,0.00000,0.00000,0.34864,0.31733
2,DISC,0.70481,50.96322,0.50000,0.00000,0.00000,0.32985,0.31733
3,DISC,0.70439,50.96322,0.50000,0.00000,0.00000,0.34238,0.35073
4,DISC,0.70224,50.96322,0.50000,0.00000,0.00000,0.32985,0.32985
5,DISC,0.70361,50.96322,0.50000,0.00000,0.00000,0.30898,0.31942
6,GEN,0.70361,48.44483,0.50000,0.00000,0.00000,0.33612,0.35491
7,GEN,0.70361,45.04800,0.50000,0.00000,0.00000,0.35282,0.30898
8,DISC,0.70329,45.04800,0.50000,0.00000,0.00000,0.34447,0.32359
9,DISC,0.70159,45.04800,0.50000,0.00000,0.00000,0.34447,0.29019
10,DISC,0.70144,45.04800,0.50000,0.00000,0.00000,0.30689,0.31106
11,DISC,0.70059,45.04800,0.50000,0.00000,0.00000,0.32777,0.30898
12,DISC,0.70030,45.04800,0.50000,0.00000,0.00000,0.34238,0.35699
13,GEN,0.70030,45.22432,0.50000,0.00000,0.00000,0.35073,0.32777
14,GEN,0.70030,45.49821,0.50000,0.00000,0.00000,0.31524,0.30898
15,DISC,0.70026,45.49821,0.50000,0.00000,0.00000,0.33403,0.31315
16,DISC,0.69928,45.49821,0.50000,0.00000,0.00000,0.34447,0.33403
17,DISC,0.69861,45.49821,0.50000,0.00000,0.00000,0.31733,0.35282
18,DISC,0.69781,45.49821,0.50000,0.00000,0.00000,0.35699,0.32568
19,DISC,0.69836,45.49821,0.50000,0.00000,0.00000,0.33403,0.30689
20,GEN,0.69836,45.97852,0.50000,0.00000,0.00000,0.36534,0.32150
21,GEN,0.69836,43.68878,0.50000,0.00000,0.00000,0.32568,0.31315
22,DISC,0.69821,43.68878,0.50000,0.00000,0.00000,0.34029,0.32985
23,DISC,0.69725,43.68878,0.50000,0.00000,0.00000,0.32985,0.34656
24,DISC,0.69593,43.68878,0.50000,0.00000,0.00000,0.33820,0.31524
25,DISC,0.69523,43.68878,0.50000,0.00000,0.00000,0.34864,0.30898
26,DISC,0.69616,43.68878,0.50000,0.00000,0.00000,0.33403,0.32150
27,GEN,0.69616,46.20476,0.50000,0.00000,0.00000,0.34864,0.32985
28,GEN,0.69616,42.97685,0.50000,0.00000,0.00000,0.36326,0.34238
29,DISC,0.69478,42.97685,0.50000,0.00000,0.00000,0.29854,0.33612
30,DISC,0.69359,42.97685,0.50000,0.00000,0.00000,0.34656,0.38205
31,DISC,0.69415,42.97685,0.50000,0.00000,0.00000,0.31733,0.29019
32,DISC,0.69389,42.97685,0.50000,0.00000,0.00000,0.30689,0.34447
33,DISC,0.69355,42.97685,0.50000,0.00000,0.00000,0.34447,0.31106
34,DISC,0.69292,42.97685,0.50000,0.00000,0.00000,0.35282,0.31942
35,DISC,0.69156,42.97685,0.50000,0.00000,0.00000,0.34447,0.32359
36,DISC,0.69185,42.97685,0.50000,0.00000,0.00000,0.34238,0.32985
37,DISC,0.69160,42.97685,0.50000,0.00000,0.00000,0.32985,0.34447
38,DISC,0.69028,42.97685,0.50000,0.00000,0.00000,0.37578,0.32359
39,DISC,0.69047,42.97685,0.50000,0.00000,0.00000,0.35073,0.31315
40,DISC,0.69048,42.97685,0.50000,0.00000,0.00000,0.37370,0.33403
41,DISC,0.68890,42.97685,0.50000,0.00000,0.00000,0.34656,0.31315
42,DISC,0.68971,42.97685,0.50000,0.00000,0.00000,0.34447,0.32777
43,DISC,0.68882,42.97685,0.50000,0.00000,0.00000,0.34656,0.32568
44,DISC,0.68739,42.97685,0.50000,0.00000,0.00000,0.34029,0.30271
45,DISC,0.68741,42.97685,0.50000,0.00000,0.00000,0.32985,0.31315
46,DISC,0.68673,42.97685,0.50000,0.00000,0.00000,0.30898,0.30689
47,DISC,0.68651,42.97685,0.50000,0.00000,0.00000,0.32359,0.33612
48,DISC,0.68519,42.97685,0.50000,0.00000,0.00000,0.33612,0.29645
49,DISC,0.68522,42.97685,0.50000,0.00000,0.00000,0.34656,0.33820
50,DISC,0.68406,42.97685,0.50000,0.00000,0.00000,0.31524,0.34447
51,DISC,0.68320,42.97685,0.50000,0.00000,0.00000,0.34447,0.31106
52,DISC,0.68295,42.97685,0.50000,0.00000,0.00000,0.37370,0.33612
53,DISC,0.68313,42.97685,0.50000,0.00000,0.00000,0.32568,0.34029
54,DISC,0.68261,42.97685,0.50000,0.00000,0.00000,0.31524,0.34864
55,DISC,0.68307,42.97685,0.50000,0.00000,0.00000,0.34029,0.30063
56,DISC,0.68148,42.97685,0.50000,0.00000,0.00000,0.31106,0.29854
57,DISC,0.68019,42.97685,0.50000,0.00000,0.00000,0.36534,0.29645
58,DISC,0.68071,42.97685,0.50000,0.00000,0.00000,0.37161,0.28601
59,DISC,0.67946,42.97685,0.50000,0.00000,0.00000,0.34238,0.31524
60,DISC,0.67927,42.97685,0.50000,0.00000,0.00000,0.36952,0.26722
61,DISC,0.67854,42.97685,0.50104,0.00000,0.00209,0.35699,0.32359
62,DISC,0.67895,42.97685,0.50104,0.00000,0.00209,0.34656,0.31733
63,DISC,0.67804,42.97685,0.50418,0.00000,0.00835,0.33612,0.32568
64,DISC,0.67808,42.97685,0.54802,0.00000,0.09603,0.29228,0.29228
65,DISC,0.67665,42.97685,0.56785,0.00000,0.13570,0.38205,0.34029
66,DISC,0.67631,42.97685,0.63257,0.00000,0.26514,0.34238,0.37161
67,DISC,0.67588,42.97685,0.63779,0.00000,0.27557,0.35073,0.31524
68,DISC,0.67487,42.97685,0.63779,0.00000,0.27557,0.30480,0.31942
69,DISC,0.67298,42.97685,0.63883,0.00000,0.27766,0.30063,0.33403
70,DISC,0.67478,42.97685,0.63883,0.00000,0.27766,0.29436,0.31733
71,DISC,0.67301,42.97685,0.63883,0.00000,0.27766,0.35282,0.32359
72,DISC,0.67213,42.97685,0.63883,0.00000,0.27766,0.35491,0.31733
73,DISC,0.67183,42.97685,0.63883,0.00000,0.27766,0.30063,0.34029
74,DISC,0.67219,42.97685,0.63883,0.00000,0.27766,0.35699,0.30480
75,DISC,0.67116,42.97685,0.63883,0.00000,0.27766,0.32150,0.34029
76,DISC,0.67036,42.97685,0.63883,0.00000,0.27766,0.31106,0.29645
77,DISC,0.66955,42.97685,0.63883,0.00000,0.27766,0.35282,0.34029
78,DISC,0.66958,42.97685,0.63883,0.00000,0.27766,0.30689,0.36743
79,DISC,0.66854,42.97685,0.63987,0.00000,0.27975,0.30271,0.31733
80,DISC,0.66888,42.97685,0.63987,0.00000,0.27975,0.32568,0.35282
