+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.70355       |    34.97182    |  0.50000   | 1.00000 | 1.00000  | 0.33333 | 0.38384 |
|   2   |   DISC   |      0.70223       |    34.97182    |  0.50000   | 1.00000 | 1.00000  | 0.32071 | 0.31061 |
|   3   |   DISC   |      0.70212       |    34.97182    |  0.50000   | 1.00000 | 1.00000  | 0.31566 | 0.33081 |
|   4   |   DISC   |      0.70232       |    34.97182    |  0.50000   | 1.00000 | 1.00000  | 0.31566 | 0.32323 |
|   5   |   DISC   |      0.70084       |    34.97182    |  0.50000   | 1.00000 | 1.00000  | 0.31313 | 0.31061 |
|   6   |   GEN    |      0.70084       |    33.28790    |  0.50000   | 1.00000 | 1.00000  | 0.35606 | 0.32323 |
|   7   |   GEN    |      0.70084       |    30.72506    |  0.50000   | 1.00000 | 1.00000  | 0.33333 | 0.37626 |
|   8   |   DISC   |      0.70054       |    30.72506    |  0.50000   | 1.00000 | 1.00000  | 0.29293 | 0.34848 |
|   9   |   DISC   |      0.70007       |    30.72506    |  0.50000   | 1.00000 | 1.00000  | 0.33081 | 0.25758 |
|   10  |   DISC   |      0.70064       |    30.72506    |  0.50000   | 1.00000 | 1.00000  | 0.38889 | 0.31061 |
|   11  |   DISC   |      0.70066       |    30.72506    |  0.50000   | 1.00000 | 1.00000  | 0.31818 | 0.32576 |
|   12  |   DISC   |      0.70034       |    30.72506    |  0.50000   | 1.00000 | 1.00000  | 0.33081 | 0.35354 |
|   13  |   GEN    |      0.70034       |    33.25792    |  0.50000   | 1.00000 | 1.00000  | 0.36111 | 0.30051 |
|   14  |   GEN    |      0.70034       |    31.54619    |  0.50000   | 1.00000 | 1.00000  | 0.36364 | 0.38131 |
|   15  |   DISC   |      0.69904       |    31.54619    |  0.50000   | 1.00000 | 1.00000  | 0.32828 | 0.29545 |
|   16  |   DISC   |      0.69908       |    31.54619    |  0.50000   | 1.00000 | 1.00000  | 0.31061 | 0.32828 |
|   17  |   DISC   |      0.69897       |    31.54619    |  0.50000   | 1.00000 | 1.00000  | 0.38889 | 0.29798 |
|   18  |   DISC   |      0.69772       |    31.54619    |  0.50000   | 1.00000 | 1.00000  | 0.35101 | 0.29545 |
|   19  |   DISC   |      0.69722       |    31.54619    |  0.50000   | 1.00000 | 1.00000  | 0.34848 | 0.31061 |
|   20  |   GEN    |      0.69722       |    32.04254    |  0.50000   | 1.00000 | 1.00000  | 0.35354 | 0.28283 |
|   21  |   GEN    |      0.69722       |    34.30024    |  0.50000   | 1.00000 | 1.00000  | 0.32323 | 0.32576 |
|   22  |   DISC   |      0.69748       |    34.30024    |  0.50000   | 1.00000 | 1.00000  | 0.34596 | 0.32323 |
|   23  |   DISC   |      0.69655       |    34.30024    |  0.50000   | 1.00000 | 1.00000  | 0.33838 | 0.34091 |
|   24  |   DISC   |      0.69594       |    34.30024    |  0.50000   | 1.00000 | 1.00000  | 0.35859 | 0.32828 |
|   25  |   DISC   |      0.69584       |    34.30024    |  0.50000   | 1.00000 | 1.00000  | 0.32576 | 0.32576 |
|   26  |   DISC   |      0.69586       |    34.30024    |  0.50000   | 1.00000 | 1.00000  | 0.31818 | 0.33333 |
|   27  |   GEN    |      0.69586       |    33.09528    |  0.50000   | 1.00000 | 1.00000  | 0.33838 | 0.32576 |
|   28  |   GEN    |      0.69586       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.30556 | 0.34091 |
|   29  |   DISC   |      0.69522       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.30051 | 0.28535 |
|   30  |   DISC   |      0.69378       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.33081 | 0.36364 |
|   31  |   DISC   |      0.69409       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.34091 | 0.29798 |
|   32  |   DISC   |      0.69304       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.35354 | 0.31566 |
|   33  |   DISC   |      0.69414       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.32576 | 0.33333 |
|   34  |   DISC   |      0.69298       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.36869 | 0.34091 |
|   35  |   DISC   |      0.69282       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.33081 | 0.34596 |
|   36  |   DISC   |      0.69138       |    29.89474    |  0.50000   | 1.00000 | 1.00000  | 0.34343 | 0.35101 |
