+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.71389       |    49.72641    |  0.50000   | 0.00000 | 0.00000  | 0.33258 | 0.36425 |
|   2   |   DISC   |      0.71426       |    49.72641    |  0.50000   | 0.00000 | 0.00000  | 0.32353 | 0.35068 |
|   3   |   DISC   |      0.71333       |    49.72641    |  0.50000   | 0.00000 | 0.00000  | 0.31674 | 0.33710 |
|   4   |   DISC   |      0.71301       |    49.72641    |  0.50000   | 0.00000 | 0.00000  | 0.33032 | 0.29638 |
|   5   |   DISC   |      0.71197       |    49.72641    |  0.50000   | 0.00000 | 0.00000  | 0.33710 | 0.30995 |
|   6   |   GEN    |      0.71197       |    50.05513    |  0.50000   | 0.00000 | 0.00000  | 0.36199 | 0.40045 |
|   7   |   GEN    |      0.71197       |    54.97738    |  0.50000   | 0.00000 | 0.00000  | 0.30769 | 0.38009 |
|   8   |   DISC   |      0.71194       |    54.97738    |  0.50000   | 0.00000 | 0.00000  | 0.30543 | 0.38009 |
|   9   |   DISC   |      0.71253       |    54.97738    |  0.50000   | 0.00000 | 0.00000  | 0.31674 | 0.35747 |
|   10  |   DISC   |      0.71134       |    54.97738    |  0.50000   | 0.00000 | 0.00000  | 0.34615 | 0.33484 |
|   11  |   DISC   |      0.71146       |    54.97738    |  0.50000   | 0.00000 | 0.00000  | 0.32579 | 0.33710 |
|   12  |   DISC   |      0.71098       |    54.97738    |  0.50000   | 0.00000 | 0.00000  | 0.33484 | 0.38009 |
|   13  |   GEN    |      0.71098       |    45.78724    |  0.50000   | 0.00000 | 0.00000  | 0.31674 | 0.34615 |
|   14  |   GEN    |      0.71098       |    49.79707    |  0.50000   | 0.00000 | 0.00000  | 0.30317 | 0.33032 |
|   15  |   DISC   |      0.71061       |    49.79707    |  0.50000   | 0.00000 | 0.00000  | 0.34615 | 0.29412 |
|   16  |   DISC   |      0.71041       |    49.79707    |  0.50000   | 0.00000 | 0.00000  | 0.31674 | 0.37783 |
|   17  |   DISC   |      0.71088       |    49.79707    |  0.50000   | 0.00000 | 0.00000  | 0.32579 | 0.31222 |
|   18  |   DISC   |      0.70929       |    49.79707    |  0.50000   | 0.00000 | 0.00000  | 0.30090 | 0.30769 |
|   19  |   DISC   |      0.70941       |    49.79707    |  0.50000   | 0.00000 | 0.00000  | 0.34389 | 0.36878 |
|   20  |   GEN    |      0.70941       |    47.26886    |  0.50000   | 0.00000 | 0.00000  | 0.34389 | 0.35973 |
|   21  |   GEN    |      0.70941       |    50.73528    |  0.50000   | 0.00000 | 0.00000  | 0.39140 | 0.31222 |
|   22  |   DISC   |      0.70908       |    50.73528    |  0.50000   | 0.00000 | 0.00000  | 0.34842 | 0.34389 |
|   23  |   DISC   |      0.70886       |    50.73528    |  0.50000   | 0.00000 | 0.00000  | 0.28507 | 0.32805 |
|   24  |   DISC   |      0.70782       |    50.73528    |  0.50000   | 0.00000 | 0.00000  | 0.35973 | 0.33937 |
|   25  |   DISC   |      0.70862       |    50.73528    |  0.50000   | 0.00000 | 0.00000  | 0.36425 | 0.39593 |
|   26  |   DISC   |      0.70794       |    50.73528    |  0.50000   | 0.00000 | 0.00000  | 0.33258 | 0.33258 |
|   27  |   GEN    |      0.70794       |    46.60104    |  0.50000   | 0.00000 | 0.00000  | 0.35747 | 0.40724 |
|   28  |   GEN    |      0.70794       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.29638 | 0.35747 |
|   29  |   DISC   |      0.70736       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35068 | 0.34389 |
|   30  |   DISC   |      0.70690       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.29864 | 0.33710 |
|   31  |   DISC   |      0.70727       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34389 | 0.36878 |
|   32  |   DISC   |      0.70694       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.37104 | 0.32353 |
|   33  |   DISC   |      0.70578       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32353 | 0.32579 |
|   34  |   DISC   |      0.70607       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32127 | 0.33032 |
|   35  |   DISC   |      0.70593       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33710 | 0.32805 |
|   36  |   DISC   |      0.70615       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33937 | 0.33032 |
|   37  |   DISC   |      0.70484       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34163 | 0.30543 |
|   38  |   DISC   |      0.70496       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34615 | 0.34389 |
|   39  |   DISC   |      0.70494       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35520 | 0.37330 |
|   40  |   DISC   |      0.70530       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33710 | 0.30769 |
|   41  |   DISC   |      0.70404       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32127 | 0.37557 |
|   42  |   DISC   |      0.70374       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32579 | 0.33937 |
|   43  |   DISC   |      0.70359       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.37783 | 0.31900 |
|   44  |   DISC   |      0.70355       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.30769 | 0.32353 |
|   45  |   DISC   |      0.70296       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32579 | 0.35747 |
|   46  |   DISC   |      0.70218       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.28507 | 0.35973 |
|   47  |   DISC   |      0.70297       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32353 | 0.34163 |
|   48  |   DISC   |      0.70197       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32805 | 0.33484 |
|   49  |   DISC   |      0.70120       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.30090 | 0.33710 |
|   50  |   DISC   |      0.70125       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32127 | 0.33484 |
|   51  |   DISC   |      0.70144       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32579 | 0.33710 |
|   52  |   DISC   |      0.70047       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.28959 | 0.35747 |
|   53  |   DISC   |      0.70043       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32805 | 0.35294 |
|   54  |   DISC   |      0.70033       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.37557 | 0.33258 |
|   55  |   DISC   |      0.69978       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33258 | 0.35294 |
|   56  |   DISC   |      0.69982       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36199 | 0.31900 |
|   57  |   DISC   |      0.69932       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.29638 | 0.34842 |
|   58  |   DISC   |      0.69954       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.30769 | 0.33258 |
|   59  |   DISC   |      0.69888       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.31222 | 0.32353 |
|   60  |   DISC   |      0.69887       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32579 | 0.31674 |
|   61  |   DISC   |      0.69792       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.30543 | 0.31448 |
|   62  |   DISC   |      0.69800       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.29412 | 0.31900 |
|   63  |   DISC   |      0.69784       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.31900 | 0.33032 |
|   64  |   DISC   |      0.69666       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.28733 | 0.32127 |
|   65  |   DISC   |      0.69705       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34615 | 0.36199 |
|   66  |   DISC   |      0.69685       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.29638 | 0.37104 |
|   67  |   DISC   |      0.69594       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36425 | 0.36425 |
|   68  |   DISC   |      0.69616       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35747 | 0.31448 |
|   69  |   DISC   |      0.69615       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32353 | 0.33710 |
|   70  |   DISC   |      0.69537       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.31448 | 0.34389 |
|   71  |   DISC   |      0.69508       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.37104 | 0.32805 |
|   72  |   DISC   |      0.69552       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33484 | 0.31900 |
|   73  |   DISC   |      0.69489       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34389 | 0.31448 |
|   74  |   DISC   |      0.69457       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33710 | 0.33032 |
|   75  |   DISC   |      0.69371       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36878 | 0.34389 |
|   76  |   DISC   |      0.69414       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35068 | 0.36652 |
|   77  |   DISC   |      0.69346       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33258 | 0.35747 |
|   78  |   DISC   |      0.69279       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36878 | 0.32805 |
|   79  |   DISC   |      0.69315       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33032 | 0.34615 |
|   80  |   DISC   |      0.69192       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35973 | 0.33484 |
|   81  |   DISC   |      0.69203       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.28733 | 0.34615 |
|   82  |   DISC   |      0.69212       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34389 | 0.35520 |
|   83  |   DISC   |      0.69104       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33484 | 0.36652 |
|   84  |   DISC   |      0.69123       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33937 | 0.37783 |
|   85  |   DISC   |      0.69039       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32579 | 0.33258 |
|   86  |   DISC   |      0.68991       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.30090 | 0.32579 |
|   87  |   DISC   |      0.68993       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36425 | 0.32353 |
|   88  |   DISC   |      0.68991       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33032 | 0.31222 |
|   89  |   DISC   |      0.68932       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32805 | 0.36425 |
|   90  |   DISC   |      0.68886       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36878 | 0.33484 |
|   91  |   DISC   |      0.68843       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.30769 | 0.30090 |
|   92  |   DISC   |      0.68755       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32353 | 0.34389 |
|   93  |   DISC   |      0.68795       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33032 | 0.35520 |
|   94  |   DISC   |      0.68765       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36199 | 0.34615 |
|   95  |   DISC   |      0.68753       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.31448 | 0.33710 |
|   96  |   DISC   |      0.68660       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35520 | 0.33258 |
|   97  |   DISC   |      0.68591       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35068 | 0.36425 |
|   98  |   DISC   |      0.68630       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33710 | 0.32353 |
|   99  |   DISC   |      0.68535       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32805 | 0.35294 |
|  100  |   DISC   |      0.68543       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.31900 | 0.33484 |
|  101  |   DISC   |      0.68483       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33032 | 0.30995 |
|  102  |   DISC   |      0.68397       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.37330 | 0.37557 |
|  103  |   DISC   |      0.68394       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34842 | 0.36652 |
|  104  |   DISC   |      0.68376       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.34615 | 0.34842 |
|  105  |   DISC   |      0.68322       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.31448 | 0.32353 |
|  106  |   DISC   |      0.68227       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.36199 | 0.33258 |
|  107  |   DISC   |      0.68283       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.29638 | 0.34615 |
|  108  |   DISC   |      0.68223       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.32127 | 0.32127 |
|  109  |   DISC   |      0.68098       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.29864 | 0.33258 |
|  110  |   DISC   |      0.68153       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.31674 | 0.33937 |
|  111  |   DISC   |      0.68030       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35973 | 0.29638 |
|  112  |   DISC   |      0.68020       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.37104 | 0.34615 |
|  113  |   DISC   |      0.67961       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35294 | 0.29864 |
|  114  |   DISC   |      0.67928       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.33484 | 0.28733 |
|  115  |   DISC   |      0.67923       |    49.80362    |  0.50000   | 0.00000 | 0.00000  | 0.35068 | 0.34615 |
|  116  |   DISC   |      0.67932       |    49.80362    |  0.50113   | 0.00000 | 0.00226  | 0.34842 | 0.28959 |
|  117  |   DISC   |      0.67810       |    49.80362    |  0.52602   | 0.00000 | 0.05204  | 0.29186 | 0.33484 |
|  118  |   DISC   |      0.67748       |    49.80362    |  0.52828   | 0.00000 | 0.05656  | 0.33258 | 0.27376 |
|  119  |   DISC   |      0.67858       |    49.80362    |  0.52828   | 0.00000 | 0.05656  | 0.32127 | 0.36878 |
|  120  |   DISC   |      0.67707       |    49.80362    |  0.52941   | 0.00000 | 0.05882  | 0.33484 | 0.33484 |
|  121  |   DISC   |      0.67702       |    49.80362    |  0.52941   | 0.00000 | 0.05882  | 0.34163 | 0.36652 |
|  122  |   DISC   |      0.67619       |    49.80362    |  0.53507   | 0.00000 | 0.07014  | 0.35747 | 0.34163 |
|  123  |   DISC   |      0.67618       |    49.80362    |  0.54412   | 0.00000 | 0.08824  | 0.37783 | 0.33710 |
|  124  |   DISC   |      0.67562       |    49.80362    |  0.58145   | 0.00000 | 0.16290  | 0.33937 | 0.35294 |
|  125  |   DISC   |      0.67496       |    49.80362    |  0.62783   | 0.00000 | 0.25566  | 0.32805 | 0.31900 |
|  126  |   DISC   |      0.67414       |    49.80362    |  0.66403   | 0.00000 | 0.32805  | 0.30543 | 0.34389 |
|  127  |   DISC   |      0.67461       |    49.80362    |  0.68665   | 0.00000 | 0.37330  | 0.32805 | 0.30995 |
