+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.67879       |   177.64122    |  0.50922   | 0.53287 | 0.55131  | 0.34921 | 0.35147 |
|   2   |   DISC   |      0.67865       |   177.64122    |  0.50948   | 0.53272 | 0.55167  | 0.34014 | 0.34014 |
|   3   |   DISC   |      0.67950       |   177.64122    |  0.50965   | 0.53272 | 0.55203  | 0.31973 | 0.37642 |
|   4   |   DISC   |      0.67715       |   177.64122    |  0.50988   | 0.53264 | 0.55240  | 0.36735 | 0.33333 |
|   5   |   DISC   |      0.67744       |   177.64122    |  0.51009   | 0.53259 | 0.55277  | 0.37868 | 0.34921 |
|   6   |   GEN    |      0.67744       |   166.98866    |  0.51014   | 0.53248 | 0.55277  | 0.34014 | 0.34014 |
|   7   |   GEN    |      0.67744       |   158.36887    |  0.51015   | 0.53246 | 0.55277  | 0.37188 | 0.35374 |
|   8   |   DISC   |      0.67593       |   158.36887    |  0.51037   | 0.53241 | 0.55314  | 0.32653 | 0.33787 |
|   9   |   DISC   |      0.67771       |   158.36887    |  0.51059   | 0.53233 | 0.55351  | 0.31973 | 0.32880 |
|   10  |   DISC   |      0.67733       |   158.36887    |  0.51083   | 0.53222 | 0.55388  | 0.36281 | 0.35374 |
|   11  |   DISC   |      0.67516       |   158.36887    |  0.51103   | 0.53220 | 0.55425  | 0.31519 | 0.35374 |
|   12  |   DISC   |      0.67569       |   158.36887    |  0.51125   | 0.53212 | 0.55463  | 0.33787 | 0.30159 |
|   13  |   GEN    |      0.67569       |   182.55684    |  0.51132   | 0.53199 | 0.55463  | 0.31293 | 0.37868 |
|   14  |   GEN    |      0.67569       |   155.41687    |  0.51134   | 0.53195 | 0.55463  | 0.30385 | 0.32653 |
|   15  |   DISC   |      0.67400       |   155.41687    |  0.51158   | 0.53185 | 0.55500  | 0.31519 | 0.32426 |
|   16  |   DISC   |      0.67534       |   155.41687    |  0.51177   | 0.53184 | 0.55538  | 0.33107 | 0.33107 |
|   17  |   DISC   |      0.67281       |   155.41687    |  0.51205   | 0.53166 | 0.55576  | 0.35147 | 0.34467 |
|   18  |   DISC   |      0.67274       |   155.41687    |  0.51221   | 0.53173 | 0.55615  | 0.33333 | 0.35828 |
|   19  |   DISC   |      0.67288       |   155.41687    |  0.51245   | 0.53164 | 0.55654  | 0.31746 | 0.31746 |
|   20  |   GEN    |      0.67288       |   154.00974    |  0.51245   | 0.53164 | 0.55654  | 0.31293 | 0.33333 |
|   21  |   GEN    |      0.67288       |   165.31117    |  0.51244   | 0.53166 | 0.55654  | 0.31746 | 0.32426 |
|   22  |   DISC   |      0.67267       |   165.31117    |  0.51269   | 0.53156 | 0.55693  | 0.34467 | 0.33560 |
|   23  |   DISC   |      0.67175       |   165.31117    |  0.51297   | 0.53139 | 0.55732  | 0.34014 | 0.31293 |
|   24  |   DISC   |      0.67218       |   165.31117    |  0.51317   | 0.53138 | 0.55772  | 0.33787 | 0.29705 |
|   25  |   DISC   |      0.67138       |   165.31117    |  0.51340   | 0.53132 | 0.55812  | 0.35374 | 0.31066 |
|   26  |   DISC   |      0.67138       |   165.31117    |  0.51359   | 0.53133 | 0.55852  | 0.32426 | 0.36054 |
|   27  |   GEN    |      0.67138       |   170.26538    |  0.51361   | 0.53130 | 0.55852  | 0.31293 | 0.32200 |
|   28  |   GEN    |      0.67138       |   145.86227    |  0.51353   | 0.53146 | 0.55852  | 0.35601 | 0.34240 |
|   29  |   DISC   |      0.67176       |   145.86227    |  0.51386   | 0.53121 | 0.55892  | 0.36508 | 0.36054 |
|   30  |   DISC   |      0.66966       |   145.86227    |  0.51407   | 0.53118 | 0.55932  | 0.30385 | 0.33107 |
|   31  |   DISC   |      0.66955       |   145.86227    |  0.51425   | 0.53122 | 0.55973  | 0.30839 | 0.34694 |
|   32  |   DISC   |      0.67047       |   145.86227    |  0.51449   | 0.53115 | 0.56014  | 0.33333 | 0.30612 |
|   33  |   DISC   |      0.66851       |   145.86227    |  0.51478   | 0.53099 | 0.56055  | 0.31066 | 0.34694 |
|   34  |   DISC   |      0.66798       |   145.86227    |  0.51501   | 0.53096 | 0.56097  | 0.31746 | 0.33107 |
|   35  |   DISC   |      0.66924       |   145.86227    |  0.51524   | 0.53092 | 0.56139  | 0.30612 | 0.32653 |
|   36  |   DISC   |      0.66787       |   145.86227    |  0.51548   | 0.53085 | 0.56182  | 0.33107 | 0.31066 |
|   37  |   DISC   |      0.66721       |   145.86227    |  0.51572   | 0.53081 | 0.56225  | 0.34240 | 0.31066 |
|   38  |   DISC   |      0.66612       |   145.86227    |  0.51596   | 0.53076 | 0.56269  | 0.32880 | 0.36281 |
|   39  |   DISC   |      0.66532       |   145.86227    |  0.51615   | 0.53082 | 0.56312  | 0.32880 | 0.34014 |
|   40  |   DISC   |      0.66666       |   145.86227    |  0.51653   | 0.53050 | 0.56357  | 0.31066 | 0.31293 |
|   41  |   DISC   |      0.66386       |   145.86227    |  0.51666   | 0.53068 | 0.56401  | 0.34240 | 0.36961 |
|   42  |   DISC   |      0.66462       |   145.86227    |  0.51699   | 0.53048 | 0.56446  | 0.27891 | 0.35147 |
|   43  |   DISC   |      0.66321       |   145.86227    |  0.51723   | 0.53046 | 0.56491  | 0.34014 | 0.33560 |
|   44  |   DISC   |      0.66425       |   145.86227    |  0.51749   | 0.53038 | 0.56537  | 0.30385 | 0.32653 |
|   45  |   DISC   |      0.66479       |   145.86227    |  0.51776   | 0.53031 | 0.56582  | 0.31746 | 0.33333 |
|   46  |   DISC   |      0.66238       |   145.86227    |  0.51800   | 0.53028 | 0.56628  | 0.30159 | 0.32200 |
|   47  |   DISC   |      0.66245       |   145.86227    |  0.51826   | 0.53024 | 0.56675  | 0.32200 | 0.32653 |
|   48  |   DISC   |      0.66233       |   145.86227    |  0.51852   | 0.53017 | 0.56722  | 0.36054 | 0.32880 |
|   49  |   DISC   |      0.66208       |   145.86227    |  0.51880   | 0.53008 | 0.56769  | 0.34921 | 0.34921 |
|   50  |   DISC   |      0.66052       |   145.86227    |  0.51906   | 0.53004 | 0.56816  | 0.31746 | 0.33560 |
|   51  |   DISC   |      0.66073       |   145.86227    |  0.51930   | 0.53005 | 0.56864  | 0.34240 | 0.33333 |
|   52  |   DISC   |      0.65912       |   145.86227    |  0.51955   | 0.53003 | 0.56913  | 0.35828 | 0.35601 |
|   53  |   DISC   |      0.66040       |   145.86227    |  0.51986   | 0.52991 | 0.56962  | 0.36281 | 0.33333 |
|   54  |   DISC   |      0.65955       |   145.86227    |  0.52012   | 0.52988 | 0.57011  | 0.29932 | 0.33107 |
|   55  |   DISC   |      0.65859       |   145.86227    |  0.52038   | 0.52985 | 0.57061  | 0.36054 | 0.33107 |
|   56  |   DISC   |      0.65809       |   145.86227    |  0.52076   | 0.52960 | 0.57112  | 0.32880 | 0.35828 |
|   57  |   DISC   |      0.65850       |   145.86227    |  0.52095   | 0.52972 | 0.57162  | 0.31973 | 0.33787 |
|   58  |   DISC   |      0.65730       |   145.86227    |  0.52125   | 0.52963 | 0.57213  | 0.29705 | 0.32880 |
|   59  |   DISC   |      0.65671       |   145.86227    |  0.52151   | 0.52962 | 0.57264  | 0.36054 | 0.31519 |
|   60  |   DISC   |      0.65654       |   145.86227    |  0.52181   | 0.52954 | 0.57316  | 0.34014 | 0.33560 |
|   61  |   DISC   |      0.65571       |   145.86227    |  0.52209   | 0.52951 | 0.57368  | 0.36508 | 0.26304 |
|   62  |   DISC   |      0.65567       |   145.86227    |  0.52242   | 0.52937 | 0.57421  | 0.32426 | 0.33333 |
|   63  |   DISC   |      0.65528       |   145.86227    |  0.52266   | 0.52942 | 0.57474  | 0.35147 | 0.29705 |
|   64  |   DISC   |      0.65432       |   145.86227    |  0.52304   | 0.52919 | 0.57527  | 0.34014 | 0.36735 |
|   65  |   DISC   |      0.65488       |   145.86227    |  0.52329   | 0.52923 | 0.57581  | 0.34694 | 0.34921 |
|   66  |   DISC   |      0.65406       |   145.86227    |  0.52361   | 0.52914 | 0.57635  | 0.34240 | 0.31973 |
|   67  |   DISC   |      0.65360       |   145.86227    |  0.52391   | 0.52906 | 0.57689  | 0.33333 | 0.38095 |
|   68  |   DISC   |      0.65280       |   145.86227    |  0.52418   | 0.52908 | 0.57744  | 0.36281 | 0.32426 |
|   69  |   DISC   |      0.65362       |   145.86227    |  0.52456   | 0.52887 | 0.57799  | 0.31066 | 0.34240 |
|   70  |   DISC   |      0.65133       |   145.86227    |  0.52486   | 0.52883 | 0.57855  | 0.34467 | 0.29478 |
|   71  |   DISC   |      0.65111       |   145.86227    |  0.52509   | 0.52892 | 0.57911  | 0.37868 | 0.31973 |
|   72  |   DISC   |      0.64998       |   145.86227    |  0.52546   | 0.52877 | 0.57968  | 0.35601 | 0.34467 |
|   73  |   DISC   |      0.65014       |   145.86227    |  0.52577   | 0.52873 | 0.58026  | 0.32880 | 0.31746 |
|   74  |   DISC   |      0.64863       |   145.86227    |  0.52609   | 0.52867 | 0.58085  | 0.34467 | 0.34921 |
|   75  |   DISC   |      0.64946       |   145.86227    |  0.52639   | 0.52867 | 0.58144  | 0.32200 | 0.30839 |
|   76  |   DISC   |      0.64704       |   145.86227    |  0.52673   | 0.52858 | 0.58204  | 0.35601 | 0.35828 |
|   77  |   DISC   |      0.64751       |   145.86227    |  0.52713   | 0.52839 | 0.58265  | 0.34921 | 0.30159 |
|   78  |   DISC   |      0.64823       |   145.86227    |  0.52735   | 0.52855 | 0.58326  | 0.36508 | 0.34014 |
|   79  |   DISC   |      0.64667       |   145.86227    |  0.52779   | 0.52830 | 0.58388  | 0.33107 | 0.29932 |
|   80  |   DISC   |      0.64612       |   145.86227    |  0.52817   | 0.52816 | 0.58451  | 0.34921 | 0.32200 |
|   81  |   DISC   |      0.64573       |   145.86227    |  0.52847   | 0.52820 | 0.58514  | 0.32653 | 0.32653 |
|   82  |   DISC   |      0.64503       |   145.86227    |  0.52886   | 0.52807 | 0.58578  | 0.34240 | 0.34694 |
|   83  |   DISC   |      0.64480       |   145.86227    |  0.52915   | 0.52814 | 0.58643  | 0.34240 | 0.33787 |
|   84  |   DISC   |      0.64396       |   145.86227    |  0.52959   | 0.52789 | 0.58708  | 0.35828 | 0.34921 |
|   85  |   DISC   |      0.64296       |   145.86227    |  0.52987   | 0.52798 | 0.58773  | 0.28571 | 0.35374 |
|   86  |   DISC   |      0.64355       |   145.86227    |  0.53021   | 0.52798 | 0.58839  | 0.31519 | 0.29252 |
|   87  |   DISC   |      0.64119       |   145.86227    |  0.53056   | 0.52793 | 0.58906  | 0.34921 | 0.32426 |
|   88  |   DISC   |      0.64189       |   145.86227    |  0.53099   | 0.52774 | 0.58973  | 0.30612 | 0.30839 |
|   89  |   DISC   |      0.63980       |   145.86227    |  0.53135   | 0.52769 | 0.59040  | 0.33787 | 0.34014 |
|   90  |   DISC   |      0.63942       |   145.86227    |  0.53169   | 0.52770 | 0.59107  | 0.34240 | 0.35147 |
|   91  |   DISC   |      0.63981       |   145.86227    |  0.53209   | 0.52758 | 0.59175  | 0.34014 | 0.30839 |
|   92  |   DISC   |      0.63924       |   145.86227    |  0.53256   | 0.52732 | 0.59243  | 0.32653 | 0.33107 |
|   93  |   DISC   |      0.63885       |   145.86227    |  0.53287   | 0.52739 | 0.59312  | 0.34694 | 0.29478 |
|   94  |   DISC   |      0.63655       |   145.86227    |  0.53322   | 0.52738 | 0.59381  | 0.33560 | 0.32880 |
|   95  |   DISC   |      0.63699       |   145.86227    |  0.53362   | 0.52727 | 0.59451  | 0.33333 | 0.34014 |
