Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.67832,257.35364,0.50827,0.46862,0.48516,0.31920,0.33259
2,DISC,0.67750,257.35364,0.50843,0.46866,0.48552,0.32366,0.33482
3,DISC,0.67838,257.35364,0.50859,0.46871,0.48588,0.28125,0.35045
4,DISC,0.67805,257.35364,0.50877,0.46871,0.48624,0.35268,0.30804
5,DISC,0.67756,257.35364,0.50893,0.46874,0.48661,0.35045,0.32589
6,GEN,0.67756,263.66565,0.50888,0.46884,0.48661,0.31027,0.35045
7,GEN,0.67756,242.30914,0.50883,0.46895,0.48661,0.35938,0.29018
8,DISC,0.67713,242.30914,0.50900,0.46896,0.48697,0.32143,0.33705
9,DISC,0.67668,242.30914,0.50917,0.46898,0.48733,0.35268,0.31696
10,DISC,0.67654,242.30914,0.50935,0.46899,0.48769,0.30804,0.30804
11,DISC,0.67668,242.30914,0.50951,0.46903,0.48806,0.30804,0.33705
12,DISC,0.67551,242.30914,0.50970,0.46902,0.48842,0.29911,0.35268
13,GEN,0.67551,271.82169,0.50963,0.46915,0.48842,0.34821,0.33482
14,GEN,0.67551,229.37624,0.50960,0.46922,0.48842,0.32589,0.32366
15,DISC,0.67539,229.37624,0.50978,0.46923,0.48879,0.34598,0.33036
16,DISC,0.67572,229.37624,0.50993,0.46929,0.48915,0.33259,0.30804
17,DISC,0.67494,229.37624,0.51009,0.46934,0.48952,0.34821,0.34152
18,DISC,0.67507,229.37624,0.51027,0.46933,0.48988,0.33482,0.35045
19,DISC,0.67375,229.37624,0.51044,0.46937,0.49025,0.31920,0.39286
20,GEN,0.67375,233.19040,0.51045,0.46935,0.49025,0.31027,0.30580
21,GEN,0.67375,253.07092,0.51039,0.46946,0.49025,0.33705,0.33929
22,DISC,0.67303,253.07092,0.51056,0.46950,0.49061,0.35714,0.35045
23,DISC,0.67316,253.07092,0.51073,0.46952,0.49098,0.33036,0.35268
24,DISC,0.67245,253.07092,0.51091,0.46951,0.49134,0.33929,0.35714
25,DISC,0.67261,253.07092,0.51107,0.46957,0.49171,0.32812,0.31027
26,DISC,0.67249,253.07092,0.51124,0.46958,0.49207,0.28348,0.35938
