Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.68440,63.87458,0.45971,1.00000,0.91942,0.33884,0.33471
2,DISC,0.68457,63.87458,0.46074,1.00000,0.92149,0.35331,0.34091
3,DISC,0.68364,63.87458,0.46384,1.00000,0.92769,0.35124,0.30579
4,DISC,0.68359,63.87458,0.47004,1.00000,0.94008,0.31818,0.31612
5,DISC,0.68331,63.87458,0.47211,1.00000,0.94421,0.32851,0.35950
6,GEN,0.68331,66.99778,0.47211,1.00000,0.94421,0.32025,0.30372
7,GEN,0.68331,64.34178,0.47211,1.00000,0.94421,0.32851,0.35331
8,DISC,0.68218,64.34178,0.47417,1.00000,0.94835,0.33678,0.36777
9,DISC,0.68314,64.34178,0.47934,1.00000,0.95868,0.37190,0.37603
10,DISC,0.68208,64.34178,0.48140,1.00000,0.96281,0.30372,0.32851
11,DISC,0.68159,64.34178,0.48347,1.00000,0.96694,0.36777,0.33884
12,DISC,0.68062,64.34178,0.48657,1.00000,0.97314,0.32851,0.34917
13,GEN,0.68062,59.74048,0.48657,1.00000,0.97314,0.35331,0.36777
14,GEN,0.68062,60.81075,0.48657,1.00000,0.97314,0.35950,0.31818
15,DISC,0.68039,60.81075,0.48760,1.00000,0.97521,0.35331,0.32851
16,DISC,0.68095,60.81075,0.49070,1.00000,0.98140,0.32438,0.39876
17,DISC,0.67970,60.81075,0.49380,1.00000,0.98760,0.33058,0.31198
18,DISC,0.68005,60.81075,0.49690,1.00000,0.99380,0.36157,0.35124
19,DISC,0.67991,60.81075,0.49793,1.00000,0.99587,0.33471,0.33264
20,GEN,0.67991,56.97761,0.49793,1.00000,0.99587,0.40702,0.36983
21,GEN,0.67991,61.97423,0.49793,1.00000,0.99587,0.34298,0.33884
22,DISC,0.67894,61.97423,0.49793,1.00000,0.99587,0.38430,0.33058
23,DISC,0.67873,61.97423,0.49897,1.00000,0.99793,0.34504,0.35331
24,DISC,0.67861,61.97423,0.49897,1.00000,0.99793,0.35744,0.31818
25,DISC,0.67770,61.97423,0.49897,1.00000,0.99793,0.33884,0.34917
26,DISC,0.67809,61.97423,0.50000,1.00000,1.00000,0.33678,0.31198
27,GEN,0.67809,62.48822,0.50000,1.00000,1.00000,0.38430,0.34711
28,GEN,0.67809,59.73595,0.50000,1.00000,1.00000,0.31818,0.34504
29,DISC,0.67705,59.73595,0.50000,1.00000,1.00000,0.32851,0.33884
30,DISC,0.67695,59.73595,0.50000,1.00000,1.00000,0.28099,0.34091
31,DISC,0.67672,59.73595,0.50000,1.00000,1.00000,0.36157,0.36157
32,DISC,0.67678,59.73595,0.50000,1.00000,1.00000,0.38430,0.33264
33,DISC,0.67677,59.73595,0.50000,1.00000,1.00000,0.36157,0.29545
34,DISC,0.67504,59.73595,0.50103,0.99793,1.00000,0.35537,0.30992
35,DISC,0.67574,59.73595,0.50000,1.00000,1.00000,0.38636,0.33884
36,DISC,0.67441,59.73595,0.50000,1.00000,1.00000,0.35537,0.33884
37,DISC,0.67314,59.73595,0.50000,1.00000,1.00000,0.34711,0.30992
38,DISC,0.67430,59.73595,0.50000,1.00000,1.00000,0.28926,0.34711
39,DISC,0.67304,59.73595,0.50000,1.00000,1.00000,0.40702,0.33471
40,DISC,0.67371,59.73595,0.50000,1.00000,1.00000,0.32438,0.34917
41,DISC,0.67241,59.73595,0.50000,1.00000,1.00000,0.36777,0.33678
42,DISC,0.67178,59.73595,0.50000,1.00000,1.00000,0.33678,0.35744
43,DISC,0.67264,59.73595,0.50000,1.00000,1.00000,0.36570,0.30165
44,DISC,0.67125,59.73595,0.50000,1.00000,1.00000,0.33264,0.31405
45,DISC,0.66989,59.73595,0.50000,1.00000,1.00000,0.34298,0.35331
46,DISC,0.67049,59.73595,0.50103,0.99793,1.00000,0.37603,0.35331
47,DISC,0.66962,59.73595,0.50103,0.99793,1.00000,0.34091,0.29959
48,DISC,0.66933,59.73595,0.50000,1.00000,1.00000,0.36157,0.34917
49,DISC,0.66843,59.73595,0.50000,1.00000,1.00000,0.35331,0.34504
50,DISC,0.66833,59.73595,0.50103,0.99793,1.00000,0.38017,0.33264
51,DISC,0.66911,59.73595,0.50000,1.00000,1.00000,0.36157,0.34711
52,DISC,0.66702,59.73595,0.50000,1.00000,1.00000,0.33058,0.32231
53,DISC,0.66627,59.73595,0.50000,1.00000,1.00000,0.31818,0.35744
54,DISC,0.66690,59.73595,0.50000,1.00000,1.00000,0.35744,0.31818
55,DISC,0.66550,59.73595,0.50000,1.00000,1.00000,0.37397,0.30579
56,DISC,0.66588,59.73595,0.50310,0.99380,1.00000,0.36364,0.29339
57,DISC,0.66515,59.73595,0.50103,0.99793,1.00000,0.35950,0.34091
58,DISC,0.66388,59.73595,0.50103,0.99793,1.00000,0.35124,0.33884
59,DISC,0.66396,59.73595,0.50103,0.99793,1.00000,0.35950,0.36364
60,DISC,0.66466,59.73595,0.50207,0.99587,1.00000,0.35331,0.33678
61,DISC,0.66403,59.73595,0.50103,0.99793,1.00000,0.33884,0.30579
62,DISC,0.66292,59.73595,0.50517,0.98967,1.00000,0.36364,0.33678
63,DISC,0.66185,59.73595,0.50310,0.99380,1.00000,0.35744,0.35537
64,DISC,0.66220,59.73595,0.50103,0.99793,1.00000,0.34711,0.35537
65,DISC,0.66073,59.73595,0.50207,0.99587,1.00000,0.34091,0.32645
66,DISC,0.66084,59.73595,0.50207,0.99587,1.00000,0.39463,0.34298
67,DISC,0.65967,59.73595,0.50517,0.98967,1.00000,0.33884,0.32438
68,DISC,0.65987,59.73595,0.50207,0.99587,1.00000,0.36364,0.33471
69,DISC,0.65931,59.73595,0.50310,0.99380,1.00000,0.34298,0.35744
70,DISC,0.65820,59.73595,0.50826,0.98347,1.00000,0.35331,0.30165
71,DISC,0.65803,59.73595,0.50517,0.98967,1.00000,0.38017,0.32025
72,DISC,0.65718,59.73595,0.50620,0.98760,1.00000,0.35950,0.33678
73,DISC,0.65735,59.73595,0.50723,0.98554,1.00000,0.36983,0.33471
74,DISC,0.65647,59.73595,0.50930,0.98140,1.00000,0.39463,0.29959
75,DISC,0.65492,59.73595,0.50723,0.98554,1.00000,0.34711,0.34298
76,DISC,0.65525,59.73595,0.51446,0.97107,1.00000,0.35950,0.35331
77,DISC,0.65591,59.73595,0.51653,0.96694,1.00000,0.37397,0.35744
78,DISC,0.65364,59.73595,0.51343,0.97314,1.00000,0.40289,0.31612
79,DISC,0.65458,59.73595,0.52169,0.95661,1.00000,0.38017,0.36157
80,DISC,0.65289,59.73595,0.52789,0.94421,1.00000,0.33678,0.33264
81,DISC,0.65244,59.73595,0.52583,0.94835,1.00000,0.37603,0.37603
82,DISC,0.65202,59.73595,0.52169,0.95661,1.00000,0.40083,0.30579
83,DISC,0.65161,59.73595,0.54339,0.91322,1.00000,0.36777,0.28926
84,DISC,0.65135,59.73595,0.54236,0.91529,1.00000,0.31818,0.32851
85,DISC,0.65059,59.73595,0.54545,0.90909,1.00000,0.36157,0.36364
86,DISC,0.65007,59.73595,0.54855,0.90289,1.00000,0.38843,0.30165
