Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.69523,37.72828,0.50000,1.00000,1.00000,0.33418,0.34177
2,DISC,0.69498,37.72828,0.50000,1.00000,1.00000,0.31139,0.34430
3,DISC,0.69487,37.72828,0.50000,1.00000,1.00000,0.35443,0.29873
4,DISC,0.69376,37.72828,0.50000,1.00000,1.00000,0.35696,0.32658
5,DISC,0.69402,37.72828,0.50000,1.00000,1.00000,0.34430,0.32911
6,GEN,0.69402,35.24685,0.50000,1.00000,1.00000,0.31899,0.33165
7,GEN,0.69402,30.61865,0.50000,1.00000,1.00000,0.38987,0.33165
8,DISC,0.69366,30.61865,0.50000,1.00000,1.00000,0.32911,0.34684
9,DISC,0.69364,30.61865,0.50000,1.00000,1.00000,0.35190,0.35696
10,DISC,0.69270,30.61865,0.50000,1.00000,1.00000,0.30127,0.34937
11,DISC,0.69250,30.61865,0.50000,1.00000,1.00000,0.29114,0.35696
12,DISC,0.69224,30.61865,0.50000,1.00000,1.00000,0.32152,0.30886
13,GEN,0.69224,33.92292,0.50000,1.00000,1.00000,0.29620,0.34430
14,GEN,0.69224,35.03767,0.50000,1.00000,1.00000,0.34177,0.32658
15,DISC,0.69253,35.03767,0.50000,1.00000,1.00000,0.38228,0.40000
16,DISC,0.69218,35.03767,0.50000,1.00000,1.00000,0.30633,0.30886
17,DISC,0.69132,35.03767,0.50000,1.00000,1.00000,0.32405,0.31899
18,DISC,0.69137,35.03767,0.50000,1.00000,1.00000,0.28861,0.35949
19,DISC,0.69142,35.03767,0.50000,1.00000,1.00000,0.31392,0.35949
20,GEN,0.69142,34.50399,0.50000,1.00000,1.00000,0.28354,0.36203
21,GEN,0.69142,34.16801,0.50000,1.00000,1.00000,0.31646,0.36709
22,DISC,0.69115,34.16801,0.50000,1.00000,1.00000,0.37468,0.35696
23,DISC,0.69074,34.16801,0.50000,1.00000,1.00000,0.30380,0.34684
24,DISC,0.69057,34.16801,0.50000,1.00000,1.00000,0.34177,0.34684
25,DISC,0.68954,34.16801,0.50000,1.00000,1.00000,0.33924,0.37468
26,DISC,0.68919,34.16801,0.50000,1.00000,1.00000,0.36962,0.34937
27,GEN,0.68919,33.84547,0.50000,1.00000,1.00000,0.35190,0.34937
28,GEN,0.68919,31.79857,0.50000,1.00000,1.00000,0.33418,0.37975
29,DISC,0.68928,31.79857,0.50000,1.00000,1.00000,0.32658,0.29114
30,DISC,0.68931,31.79857,0.50000,1.00000,1.00000,0.34684,0.35443
31,DISC,0.68887,31.79857,0.50000,1.00000,1.00000,0.33924,0.37975
32,DISC,0.68864,31.79857,0.50000,1.00000,1.00000,0.34430,0.33165
33,DISC,0.68818,31.79857,0.50000,1.00000,1.00000,0.32911,0.32911
34,DISC,0.68817,31.79857,0.50000,1.00000,1.00000,0.35190,0.29873
35,DISC,0.68747,31.79857,0.50000,1.00000,1.00000,0.33671,0.34430
36,DISC,0.68782,31.79857,0.50000,1.00000,1.00000,0.31646,0.35949
37,DISC,0.68770,31.79857,0.50000,1.00000,1.00000,0.29873,0.37215
38,DISC,0.68744,31.79857,0.50000,1.00000,1.00000,0.32658,0.38481
39,DISC,0.68673,31.79857,0.50000,1.00000,1.00000,0.34684,0.31646
40,DISC,0.68642,31.79857,0.50000,1.00000,1.00000,0.34177,0.31899
41,DISC,0.68665,31.79857,0.50000,1.00000,1.00000,0.34177,0.33165
42,DISC,0.68596,31.79857,0.50000,1.00000,1.00000,0.32405,0.34177
43,DISC,0.68605,31.79857,0.50000,1.00000,1.00000,0.29873,0.33418
44,DISC,0.68604,31.79857,0.50000,1.00000,1.00000,0.32405,0.37468
45,DISC,0.68576,31.79857,0.50000,1.00000,1.00000,0.35443,0.32405
46,DISC,0.68539,31.79857,0.50000,1.00000,1.00000,0.36962,0.35696
47,DISC,0.68512,31.79857,0.50000,1.00000,1.00000,0.35443,0.37468
48,DISC,0.68425,31.79857,0.50000,1.00000,1.00000,0.35190,0.34177
49,DISC,0.68459,31.79857,0.50000,1.00000,1.00000,0.33924,0.32911
50,DISC,0.68423,31.79857,0.50000,1.00000,1.00000,0.28861,0.36203
51,DISC,0.68418,31.79857,0.50000,1.00000,1.00000,0.35443,0.33671
52,DISC,0.68346,31.79857,0.50000,1.00000,1.00000,0.33165,0.34937
53,DISC,0.68334,31.79857,0.50000,1.00000,1.00000,0.37468,0.30886
54,DISC,0.68296,31.79857,0.50000,1.00000,1.00000,0.36203,0.36709
55,DISC,0.68331,31.79857,0.50000,1.00000,1.00000,0.34684,0.36709
56,DISC,0.68254,31.79857,0.50000,1.00000,1.00000,0.34937,0.36456
57,DISC,0.68271,31.79857,0.50000,1.00000,1.00000,0.31646,0.34430
58,DISC,0.68195,31.79857,0.50000,1.00000,1.00000,0.28354,0.34430
59,DISC,0.68238,31.79857,0.50000,1.00000,1.00000,0.33165,0.30886
60,DISC,0.68119,31.79857,0.50000,1.00000,1.00000,0.32658,0.34684
61,DISC,0.68108,31.79857,0.50000,1.00000,1.00000,0.34430,0.36456
62,DISC,0.68085,31.79857,0.50000,1.00000,1.00000,0.29873,0.32405
63,DISC,0.68110,31.79857,0.50000,1.00000,1.00000,0.36709,0.35696
64,DISC,0.68038,31.79857,0.50000,1.00000,1.00000,0.33418,0.38481
65,DISC,0.68092,31.79857,0.50000,1.00000,1.00000,0.32152,0.35949
66,DISC,0.67991,31.79857,0.50000,1.00000,1.00000,0.36203,0.35696
67,DISC,0.68011,31.79857,0.50000,1.00000,1.00000,0.33165,0.32658
68,DISC,0.67950,31.79857,0.50000,1.00000,1.00000,0.29114,0.31392
69,DISC,0.67911,31.79857,0.50000,1.00000,1.00000,0.34177,0.36709
70,DISC,0.67884,31.79857,0.50000,1.00000,1.00000,0.32152,0.34177
71,DISC,0.67839,31.79857,0.50000,1.00000,1.00000,0.34684,0.35190
72,DISC,0.67919,31.79857,0.50000,1.00000,1.00000,0.28608,0.35443
73,DISC,0.67844,31.79857,0.50000,1.00000,1.00000,0.32911,0.33165
74,DISC,0.67758,31.79857,0.50000,1.00000,1.00000,0.34177,0.32152
75,DISC,0.67835,31.79857,0.50000,1.00000,1.00000,0.33924,0.35190
76,DISC,0.67795,31.79857,0.50000,1.00000,1.00000,0.33924,0.34937
77,DISC,0.67727,31.79857,0.50000,1.00000,1.00000,0.33671,0.32658
78,DISC,0.67701,31.79857,0.50000,1.00000,1.00000,0.31899,0.34684
79,DISC,0.67643,31.79857,0.50000,1.00000,1.00000,0.36203,0.37975
80,DISC,0.67602,31.79857,0.50000,1.00000,1.00000,0.34430,0.32911
81,DISC,0.67646,31.79857,0.50000,1.00000,1.00000,0.32911,0.35443
82,DISC,0.67587,31.79857,0.50000,1.00000,1.00000,0.36456,0.33165
