+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.69412       |    59.65419    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.33488 |
|   2   |   DISC   |      0.69317       |    59.65419    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.32093 |
|   3   |   DISC   |      0.69303       |    59.65419    |  0.50000   | 1.00000 | 1.00000  | 0.31628 | 0.31860 |
|   4   |   DISC   |      0.69299       |    59.65419    |  0.50000   | 1.00000 | 1.00000  | 0.30465 | 0.35116 |
|   5   |   DISC   |      0.69217       |    59.65419    |  0.50000   | 1.00000 | 1.00000  | 0.30000 | 0.33488 |
|   6   |   GEN    |      0.69217       |    68.68304    |  0.50000   | 1.00000 | 1.00000  | 0.34419 | 0.30930 |
|   7   |   GEN    |      0.69217       |    64.52011    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.35814 |
|   8   |   DISC   |      0.69191       |    64.52011    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.28837 |
|   9   |   DISC   |      0.69180       |    64.52011    |  0.50000   | 1.00000 | 1.00000  | 0.32558 | 0.31163 |
|   10  |   DISC   |      0.69050       |    64.52011    |  0.50000   | 1.00000 | 1.00000  | 0.31395 | 0.30930 |
|   11  |   DISC   |      0.69084       |    64.52011    |  0.50000   | 1.00000 | 1.00000  | 0.33256 | 0.37209 |
|   12  |   DISC   |      0.68865       |    64.52011    |  0.50000   | 1.00000 | 1.00000  | 0.31395 | 0.30233 |
|   13  |   GEN    |      0.68865       |    65.55386    |  0.50000   | 1.00000 | 1.00000  | 0.36744 | 0.34419 |
|   14  |   GEN    |      0.68865       |    59.48309    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.32558 |
|   15  |   DISC   |      0.68991       |    59.48309    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.32326 |
|   16  |   DISC   |      0.68852       |    59.48309    |  0.50000   | 1.00000 | 1.00000  | 0.31395 | 0.32791 |
|   17  |   DISC   |      0.68856       |    59.48309    |  0.50000   | 1.00000 | 1.00000  | 0.34651 | 0.29535 |
|   18  |   DISC   |      0.68816       |    59.48309    |  0.50000   | 1.00000 | 1.00000  | 0.30465 | 0.30698 |
|   19  |   DISC   |      0.68866       |    59.48309    |  0.50000   | 1.00000 | 1.00000  | 0.33953 | 0.35814 |
|   20  |   GEN    |      0.68866       |    64.33635    |  0.50000   | 1.00000 | 1.00000  | 0.31395 | 0.35116 |
|   21  |   GEN    |      0.68866       |    58.00293    |  0.50000   | 1.00000 | 1.00000  | 0.35116 | 0.37674 |
|   22  |   DISC   |      0.68757       |    58.00293    |  0.50000   | 1.00000 | 1.00000  | 0.37442 | 0.31395 |
|   23  |   DISC   |      0.68621       |    58.00293    |  0.50000   | 1.00000 | 1.00000  | 0.39070 | 0.34884 |
|   24  |   DISC   |      0.68607       |    58.00293    |  0.50000   | 1.00000 | 1.00000  | 0.35581 | 0.32093 |
|   25  |   DISC   |      0.68541       |    58.00293    |  0.50000   | 1.00000 | 1.00000  | 0.29070 | 0.33256 |
|   26  |   DISC   |      0.68539       |    58.00293    |  0.50000   | 1.00000 | 1.00000  | 0.32093 | 0.32791 |
|   27  |   GEN    |      0.68539       |    65.77627    |  0.50000   | 1.00000 | 1.00000  | 0.30465 | 0.30930 |
|   28  |   GEN    |      0.68539       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.32558 |
|   29  |   DISC   |      0.68485       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.37209 | 0.33256 |
|   30  |   DISC   |      0.68445       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.36047 | 0.35349 |
|   31  |   DISC   |      0.68359       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33721 | 0.28605 |
|   32  |   DISC   |      0.68261       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.30930 | 0.35349 |
|   33  |   DISC   |      0.68189       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.33953 |
|   34  |   DISC   |      0.68184       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35116 | 0.34186 |
|   35  |   DISC   |      0.68185       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33953 | 0.31860 |
|   36  |   DISC   |      0.68271       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.30930 | 0.31628 |
|   37  |   DISC   |      0.68085       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35581 | 0.34419 |
|   38  |   DISC   |      0.68015       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.33488 |
|   39  |   DISC   |      0.67969       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35814 | 0.30233 |
|   40  |   DISC   |      0.67883       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31163 | 0.32093 |
|   41  |   DISC   |      0.67980       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33721 | 0.33488 |
|   42  |   DISC   |      0.67754       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31163 | 0.36512 |
|   43  |   DISC   |      0.67772       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.32093 | 0.32558 |
|   44  |   DISC   |      0.67818       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31628 | 0.31628 |
|   45  |   DISC   |      0.67805       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.36047 | 0.33023 |
|   46  |   DISC   |      0.67800       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35116 | 0.31860 |
|   47  |   DISC   |      0.67526       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.33953 |
|   48  |   DISC   |      0.67585       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31163 | 0.35814 |
|   49  |   DISC   |      0.67519       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33953 | 0.33488 |
|   50  |   DISC   |      0.67475       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.30930 | 0.34419 |
|   51  |   DISC   |      0.67620       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.32558 |
|   52  |   DISC   |      0.67404       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.34884 |
|   53  |   DISC   |      0.67549       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.33953 |
|   54  |   DISC   |      0.67400       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.30698 | 0.34186 |
|   55  |   DISC   |      0.67336       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35581 | 0.33953 |
|   56  |   DISC   |      0.67253       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.33953 |
|   57  |   DISC   |      0.67273       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.30233 | 0.31395 |
|   58  |   DISC   |      0.67165       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.26279 | 0.33953 |
|   59  |   DISC   |      0.67187       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.30000 |
|   60  |   DISC   |      0.67189       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33256 | 0.28605 |
|   61  |   DISC   |      0.67026       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35116 | 0.32093 |
|   62  |   DISC   |      0.67060       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.33953 |
|   63  |   DISC   |      0.66961       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31163 | 0.31860 |
|   64  |   DISC   |      0.66962       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.37442 | 0.35581 |
|   65  |   DISC   |      0.66926       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34186 | 0.31628 |
|   66  |   DISC   |      0.66891       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35349 | 0.31860 |
|   67  |   DISC   |      0.66786       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34419 | 0.35116 |
|   68  |   DISC   |      0.66829       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.33488 |
|   69  |   DISC   |      0.66703       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33721 | 0.30233 |
|   70  |   DISC   |      0.66715       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34186 | 0.32093 |
|   71  |   DISC   |      0.66632       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.34419 |
|   72  |   DISC   |      0.66598       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.30698 | 0.32326 |
|   73  |   DISC   |      0.66621       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.35581 | 0.32326 |
|   74  |   DISC   |      0.66566       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34651 | 0.33953 |
|   75  |   DISC   |      0.66487       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.35116 |
|   76  |   DISC   |      0.66381       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.36744 | 0.34884 |
|   77  |   DISC   |      0.66351       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.37907 | 0.32093 |
|   78  |   DISC   |      0.66246       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.32093 | 0.29302 |
|   79  |   DISC   |      0.66278       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33953 | 0.31163 |
|   80  |   DISC   |      0.66267       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.27442 | 0.36047 |
|   81  |   DISC   |      0.66132       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.32093 |
|   82  |   DISC   |      0.66117       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.30698 | 0.34651 |
|   83  |   DISC   |      0.66046       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.34186 | 0.34884 |
|   84  |   DISC   |      0.66115       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.32093 | 0.37442 |
|   85  |   DISC   |      0.66158       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.33953 | 0.30465 |
|   86  |   DISC   |      0.65966       |    62.88213    |  0.50000   | 1.00000 | 1.00000  | 0.31163 | 0.31395 |
