Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.69735,148.74501,0.50000,1.00000,1.00000,0.32821,0.10894
2,DISC,0.69676,148.74501,0.50000,1.00000,1.00000,0.33939,0.10964
3,DISC,0.69628,148.74501,0.50000,1.00000,1.00000,0.33799,0.10615
4,DISC,0.69584,148.74501,0.50000,1.00000,1.00000,0.33869,0.11662
5,DISC,0.69620,148.74501,0.50000,1.00000,1.00000,0.34986,0.10545
6,GEN,0.69620,147.09048,0.50000,1.00000,1.00000,0.32821,0.12430
7,GEN,0.69620,148.78226,0.50000,1.00000,1.00000,0.34427,0.11802
8,DISC,0.69512,148.78226,0.50000,1.00000,1.00000,0.33310,0.11034
9,DISC,0.69493,148.78226,0.50000,1.00000,1.00000,0.31634,0.11383
10,DISC,0.69468,148.78226,0.50000,1.00000,1.00000,0.34008,0.11034
11,DISC,0.69440,148.78226,0.50000,1.00000,1.00000,0.33031,0.11173
12,DISC,0.69436,148.78226,0.50000,1.00000,1.00000,0.36453,0.11034
13,GEN,0.69436,135.22939,0.50000,1.00000,1.00000,0.35265,0.09707
14,GEN,0.69436,144.38399,0.50000,1.00000,1.00000,0.33659,0.10615
15,DISC,0.69340,144.38399,0.50000,1.00000,1.00000,0.32193,0.11383
16,DISC,0.69354,144.38399,0.50000,1.00000,1.00000,0.33589,0.12221
17,DISC,0.69256,144.38399,0.50000,1.00000,1.00000,0.33589,0.12360
18,DISC,0.69256,144.38399,0.50000,1.00000,1.00000,0.33659,0.10894
19,DISC,0.69185,144.38399,0.50000,1.00000,1.00000,0.35265,0.10754
20,GEN,0.69185,131.81482,0.50000,1.00000,1.00000,0.32751,0.12430
21,GEN,0.69185,137.84213,0.50000,1.00000,1.00000,0.34637,0.11453
22,DISC,0.69187,137.84213,0.50000,1.00000,1.00000,0.33170,0.10824
23,DISC,0.69146,137.84213,0.50000,1.00000,1.00000,0.33869,0.11383
24,DISC,0.69093,137.84213,0.50000,1.00000,1.00000,0.31494,0.11872
25,DISC,0.69070,137.84213,0.50000,1.00000,1.00000,0.34358,0.11453
26,DISC,0.69074,137.84213,0.50000,1.00000,1.00000,0.34707,0.11732
27,GEN,0.69074,129.63986,0.50000,1.00000,1.00000,0.33031,0.11872
28,GEN,0.69074,127.16220,0.50000,1.00000,1.00000,0.33240,0.10475
29,DISC,0.68991,127.16220,0.50000,1.00000,1.00000,0.34218,0.12081
30,DISC,0.68946,127.16220,0.50000,1.00000,1.00000,0.32751,0.10824
31,DISC,0.68928,127.16220,0.50000,1.00000,1.00000,0.35475,0.11802
32,DISC,0.68901,127.16220,0.50000,1.00000,1.00000,0.36383,0.11313
33,DISC,0.68853,127.16220,0.50000,1.00000,1.00000,0.34148,0.10754
34,DISC,0.68849,127.16220,0.50000,1.00000,1.00000,0.31844,0.11941
35,DISC,0.68830,127.16220,0.50000,1.00000,1.00000,0.32542,0.10824
