Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.69257,111.91517,0.50000,1.00000,1.00000,0.34931,0.13845
2,DISC,0.69270,111.91517,0.50000,1.00000,1.00000,0.35676,0.17252
3,DISC,0.69221,111.91517,0.50000,1.00000,1.00000,0.33546,0.16507
4,DISC,0.69220,111.91517,0.50000,1.00000,1.00000,0.35889,0.15229
5,DISC,0.69193,111.91517,0.50000,1.00000,1.00000,0.34931,0.17572
6,GEN,0.69193,110.53775,0.50000,1.00000,1.00000,0.33972,0.15548
7,GEN,0.69193,113.79175,0.50000,1.00000,1.00000,0.34931,0.16933
8,DISC,0.69184,113.79175,0.50000,1.00000,1.00000,0.34185,0.15122
9,DISC,0.69117,113.79175,0.50000,1.00000,1.00000,0.35250,0.17465
10,DISC,0.69101,113.79175,0.50000,1.00000,1.00000,0.36422,0.16613
11,DISC,0.69086,113.79175,0.50000,1.00000,1.00000,0.34505,0.16507
12,DISC,0.69092,113.79175,0.50000,1.00000,1.00000,0.35144,0.17039
13,GEN,0.69092,110.30521,0.50000,1.00000,1.00000,0.34185,0.16507
14,GEN,0.69092,105.82848,0.50000,1.00000,1.00000,0.35889,0.15761
15,DISC,0.69104,105.82848,0.50000,1.00000,1.00000,0.32375,0.16933
16,DISC,0.69051,105.82848,0.50000,1.00000,1.00000,0.32268,0.15868
17,DISC,0.69097,105.82848,0.50000,1.00000,1.00000,0.30351,0.16294
18,DISC,0.69026,105.82848,0.50000,1.00000,1.00000,0.36741,0.15655
19,DISC,0.69055,105.82848,0.50000,1.00000,1.00000,0.32907,0.17146
20,GEN,0.69055,104.32226,0.50000,1.00000,1.00000,0.32801,0.15655
21,GEN,0.69055,103.63493,0.50000,1.00000,1.00000,0.35144,0.16507
22,DISC,0.69027,103.63493,0.50000,1.00000,1.00000,0.31629,0.17252
23,DISC,0.68928,103.63493,0.50000,1.00000,1.00000,0.33227,0.17359
24,DISC,0.68996,103.63493,0.50000,1.00000,1.00000,0.35676,0.15974
25,DISC,0.68953,103.63493,0.50000,1.00000,1.00000,0.34824,0.15335
26,DISC,0.68944,103.63493,0.50000,1.00000,1.00000,0.33866,0.16400
27,GEN,0.68944,102.62361,0.50000,1.00000,1.00000,0.32694,0.17359
28,GEN,0.68944,97.49644,0.50000,1.00000,1.00000,0.33227,0.15016
29,DISC,0.68946,97.49644,0.50000,1.00000,1.00000,0.34292,0.15335
30,DISC,0.68946,97.49644,0.50000,1.00000,1.00000,0.34185,0.17039
31,DISC,0.68891,97.49644,0.50000,1.00000,1.00000,0.33546,0.16081
32,DISC,0.68830,97.49644,0.50000,1.00000,1.00000,0.33653,0.15229
33,DISC,0.68867,97.49644,0.50000,1.00000,1.00000,0.32694,0.16507
34,DISC,0.68838,97.49644,0.50000,1.00000,1.00000,0.31097,0.16400
35,DISC,0.68837,97.49644,0.50000,1.00000,1.00000,0.29925,0.15548
36,DISC,0.68823,97.49644,0.50000,1.00000,1.00000,0.33972,0.16720
37,DISC,0.68739,97.49644,0.50000,1.00000,1.00000,0.33440,0.16826
38,DISC,0.68759,97.49644,0.50000,1.00000,1.00000,0.31629,0.14271
39,DISC,0.68719,97.49644,0.50000,1.00000,1.00000,0.32907,0.16081
40,DISC,0.68739,97.49644,0.50000,1.00000,1.00000,0.33653,0.18424
41,DISC,0.68681,97.49644,0.50000,1.00000,1.00000,0.34611,0.15868
42,DISC,0.68689,97.49644,0.50000,1.00000,1.00000,0.32694,0.15442
43,DISC,0.68633,97.49644,0.50000,1.00000,1.00000,0.30884,0.14909
44,DISC,0.68660,97.49644,0.50000,1.00000,1.00000,0.34718,0.16294
45,DISC,0.68600,97.49644,0.50000,1.00000,1.00000,0.33120,0.16720
46,DISC,0.68557,97.49644,0.50000,1.00000,1.00000,0.36848,0.16400
47,DISC,0.68611,97.49644,0.50000,1.00000,1.00000,0.35144,0.18104
48,DISC,0.68581,97.49644,0.50000,1.00000,1.00000,0.32907,0.15655
49,DISC,0.68558,97.49644,0.50000,1.00000,1.00000,0.33227,0.18317
50,DISC,0.68517,97.49644,0.50000,1.00000,1.00000,0.34505,0.16613
51,DISC,0.68482,97.49644,0.50000,1.00000,1.00000,0.35144,0.16613
52,DISC,0.68485,97.49644,0.50000,1.00000,1.00000,0.32481,0.15974
53,DISC,0.68463,97.49644,0.50000,1.00000,1.00000,0.33972,0.16187
54,DISC,0.68417,97.49644,0.50000,1.00000,1.00000,0.35037,0.15016
55,DISC,0.68448,97.49644,0.50000,1.00000,1.00000,0.33227,0.15442
56,DISC,0.68385,97.49644,0.50000,1.00000,1.00000,0.34931,0.17572
57,DISC,0.68351,97.49644,0.50000,1.00000,1.00000,0.34718,0.19063
58,DISC,0.68373,97.49644,0.50000,1.00000,1.00000,0.33120,0.14803
59,DISC,0.68313,97.49644,0.50000,1.00000,1.00000,0.32268,0.15548
60,DISC,0.68347,97.49644,0.50000,1.00000,1.00000,0.34398,0.13738
61,DISC,0.68269,97.49644,0.50000,1.00000,1.00000,0.32801,0.16933
62,DISC,0.68296,97.49644,0.50000,1.00000,1.00000,0.32907,0.16507
63,DISC,0.68262,97.49644,0.50000,1.00000,1.00000,0.31416,0.16720
64,DISC,0.68257,97.49644,0.50000,1.00000,1.00000,0.32907,0.16507
65,DISC,0.68168,97.49644,0.50000,1.00000,1.00000,0.31629,0.15548
66,DISC,0.68232,97.49644,0.50000,1.00000,1.00000,0.33866,0.14803
67,DISC,0.68173,97.49644,0.50000,1.00000,1.00000,0.35463,0.17039
68,DISC,0.68166,97.49644,0.50000,1.00000,1.00000,0.35037,0.15868
69,DISC,0.68143,97.49644,0.50000,1.00000,1.00000,0.32694,0.16613
70,DISC,0.68099,97.49644,0.50000,1.00000,1.00000,0.32694,0.15974
71,DISC,0.68081,97.49644,0.50000,1.00000,1.00000,0.32907,0.16081
72,DISC,0.68106,97.49644,0.50000,1.00000,1.00000,0.34079,0.14803
73,DISC,0.68034,97.49644,0.50000,1.00000,1.00000,0.32268,0.13951
74,DISC,0.68024,97.49644,0.50000,1.00000,1.00000,0.35463,0.14377
75,DISC,0.68011,97.49644,0.50000,1.00000,1.00000,0.35037,0.14164
76,DISC,0.67986,97.49644,0.50000,1.00000,1.00000,0.32481,0.18104
77,DISC,0.67970,97.49644,0.50000,1.00000,1.00000,0.32694,0.14590
78,DISC,0.67906,97.49644,0.50000,1.00000,1.00000,0.35570,0.16187
79,DISC,0.67887,97.49644,0.50000,1.00000,1.00000,0.32162,0.16187
80,DISC,0.67904,97.49644,0.50000,1.00000,1.00000,0.32694,0.15655
81,DISC,0.67850,97.49644,0.50000,1.00000,1.00000,0.33653,0.15442
82,DISC,0.67864,97.49644,0.50000,1.00000,1.00000,0.32055,0.15335
83,DISC,0.67857,97.49644,0.50000,1.00000,1.00000,0.34611,0.16613
84,DISC,0.67796,97.49644,0.50000,1.00000,1.00000,0.31523,0.16507
85,DISC,0.67770,97.49644,0.50000,1.00000,1.00000,0.34505,0.16507
86,DISC,0.67730,97.49644,0.50000,1.00000,1.00000,0.32055,0.16613
87,DISC,0.67752,97.49644,0.50000,1.00000,1.00000,0.31523,0.17891
88,DISC,0.67707,97.49644,0.50000,1.00000,1.00000,0.33546,0.19808
89,DISC,0.67698,97.49644,0.50000,1.00000,1.00000,0.35144,0.16400
90,DISC,0.67729,97.49644,0.50000,1.00000,1.00000,0.29925,0.16187
91,DISC,0.67638,97.49644,0.50000,1.00000,1.00000,0.36209,0.16081
92,DISC,0.67659,97.49644,0.50000,1.00000,1.00000,0.33546,0.19595
93,DISC,0.67616,97.49644,0.50000,1.00000,1.00000,0.33120,0.14803
94,DISC,0.67586,97.49644,0.50000,1.00000,1.00000,0.34931,0.15016
95,DISC,0.67611,97.49644,0.50000,1.00000,1.00000,0.33120,0.16613
