+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.67986       |    30.35286    |  0.95812   | 0.01523 | 0.93147  | 0.34518 | 0.34518 |
|   2   |   DISC   |      0.67767       |    30.35286    |  0.97716   | 0.00254 | 0.95685  | 0.31726 | 0.35025 |
|   3   |   DISC   |      0.67985       |    30.35286    |  0.97462   | 0.00761 | 0.95685  | 0.33756 | 0.34772 |
|   4   |   DISC   |      0.67912       |    30.35286    |  0.97716   | 0.00508 | 0.95939  | 0.34772 | 0.32234 |
|   5   |   DISC   |      0.67688       |    30.35286    |  0.99112   | 0.00000 | 0.98223  | 0.32234 | 0.38325 |
|   6   |   GEN    |      0.67688       |    29.54342    |  0.98858   | 0.00508 | 0.98223  | 0.30711 | 0.28173 |
|   7   |   GEN    |      0.67688       |    30.99656    |  0.98477   | 0.01269 | 0.98223  | 0.35279 | 0.33756 |
|   8   |   DISC   |      0.67730       |    30.99656    |  0.98604   | 0.01015 | 0.98223  | 0.35279 | 0.35279 |
|   9   |   DISC   |      0.67650       |    30.99656    |  0.98858   | 0.00508 | 0.98223  | 0.34010 | 0.31980 |
|   10  |   DISC   |      0.67532       |    30.99656    |  0.98858   | 0.00508 | 0.98223  | 0.32234 | 0.32487 |
|   11  |   DISC   |      0.67605       |    30.99656    |  0.98477   | 0.01269 | 0.98223  | 0.31980 | 0.31218 |
|   12  |   DISC   |      0.67686       |    30.99656    |  0.99492   | 0.00254 | 0.99239  | 0.34518 | 0.30711 |
|   13  |   GEN    |      0.67686       |    31.30229    |  0.99112   | 0.01015 | 0.99239  | 0.36802 | 0.34264 |
|   14  |   GEN    |      0.67686       |    29.08379    |  0.98731   | 0.01777 | 0.99239  | 0.38832 | 0.31218 |
|   15  |   DISC   |      0.67553       |    29.08379    |  0.98858   | 0.02284 | 1.00000  | 0.31218 | 0.32487 |
|   16  |   DISC   |      0.67502       |    29.08379    |  0.99365   | 0.01269 | 1.00000  | 0.31980 | 0.33503 |
|   17  |   DISC   |      0.67390       |    29.08379    |  0.99492   | 0.01015 | 1.00000  | 0.37056 | 0.34518 |
|   18  |   DISC   |      0.67364       |    29.08379    |  0.99746   | 0.00508 | 1.00000  | 0.30203 | 0.32995 |
|   19  |   DISC   |      0.67303       |    29.08379    |  0.99746   | 0.00508 | 1.00000  | 0.32234 | 0.32234 |
|   20  |   GEN    |      0.67303       |    30.27635    |  0.98604   | 0.02792 | 1.00000  | 0.35533 | 0.36041 |
|   21  |   GEN    |      0.67303       |    27.93203    |  0.98477   | 0.03046 | 1.00000  | 0.36294 | 0.33756 |
|   22  |   DISC   |      0.67186       |    27.93203    |  0.97589   | 0.04822 | 1.00000  | 0.37563 | 0.32741 |
|   23  |   DISC   |      0.67083       |    27.93203    |  0.98477   | 0.03046 | 1.00000  | 0.33503 | 0.34264 |
|   24  |   DISC   |      0.67027       |    27.93203    |  0.98477   | 0.03046 | 1.00000  | 0.29695 | 0.31472 |
|   25  |   DISC   |      0.67068       |    27.93203    |  0.99112   | 0.01777 | 1.00000  | 0.33249 | 0.37056 |
|   26  |   DISC   |      0.66969       |    27.93203    |  0.99492   | 0.01015 | 1.00000  | 0.30711 | 0.32995 |
|   27  |   GEN    |      0.66969       |    27.26081    |  0.97970   | 0.04061 | 1.00000  | 0.29442 | 0.31218 |
|   28  |   GEN    |      0.66969       |    27.75438    |  0.97716   | 0.04569 | 1.00000  | 0.34010 | 0.34518 |
|   29  |   GEN    |      0.66969       |    25.96746    |  0.95178   | 0.09645 | 1.00000  | 0.32234 | 0.31472 |
|   30  |   GEN    |      0.66969       |    29.49225    |  0.95558   | 0.08883 | 1.00000  | 0.34772 | 0.31726 |
|   31  |   GEN    |      0.66969       |    29.22840    |  0.93528   | 0.12944 | 1.00000  | 0.29949 | 0.29949 |
|   32  |   GEN    |      0.66969       |    28.62068    |  0.93909   | 0.12183 | 1.00000  | 0.29695 | 0.32487 |
|   33  |   GEN    |      0.66969       |    26.67942    |  0.92259   | 0.15482 | 1.00000  | 0.30964 | 0.33756 |
|   34  |   GEN    |      0.66969       |    27.27409    |  0.90482   | 0.19036 | 1.00000  | 0.35279 | 0.34264 |
|   35  |   GEN    |      0.66969       |    25.99883    |  0.90736   | 0.18528 | 1.00000  | 0.32487 | 0.37310 |
