+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.66447       |    79.11840    |  0.50000   | 1.00000 | 1.00000  | 0.29535 | 0.32093 |
|   2   |   DISC   |      0.66365       |    79.11840    |  0.50000   | 1.00000 | 1.00000  | 0.33721 | 0.33488 |
|   3   |   DISC   |      0.66310       |    79.11840    |  0.50000   | 1.00000 | 1.00000  | 0.30233 | 0.33256 |
|   4   |   DISC   |      0.66277       |    79.11840    |  0.50000   | 1.00000 | 1.00000  | 0.33256 | 0.33953 |
|   5   |   DISC   |      0.66423       |    79.11840    |  0.50000   | 1.00000 | 1.00000  | 0.37907 | 0.36512 |
|   6   |   GEN    |      0.66423       |    77.57007    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.34651 |
|   7   |   GEN    |      0.66423       |    67.68437    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.32093 |
|   8   |   DISC   |      0.66001       |    67.68437    |  0.50000   | 1.00000 | 1.00000  | 0.35814 | 0.30698 |
|   9   |   DISC   |      0.66156       |    67.68437    |  0.50000   | 1.00000 | 1.00000  | 0.32093 | 0.34884 |
|   10  |   DISC   |      0.66117       |    67.68437    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.31860 |
|   11  |   DISC   |      0.65703       |    67.68437    |  0.50000   | 1.00000 | 1.00000  | 0.36512 | 0.34186 |
|   12  |   DISC   |      0.65951       |    67.68437    |  0.50000   | 1.00000 | 1.00000  | 0.32558 | 0.31395 |
|   13  |   GEN    |      0.65951       |    77.30077    |  0.50000   | 1.00000 | 1.00000  | 0.36512 | 0.36279 |
|   14  |   GEN    |      0.65951       |    72.91013    |  0.50000   | 1.00000 | 1.00000  | 0.31628 | 0.33721 |
|   15  |   DISC   |      0.65724       |    72.91013    |  0.50000   | 1.00000 | 1.00000  | 0.30698 | 0.37442 |
|   16  |   DISC   |      0.65674       |    72.91013    |  0.50000   | 1.00000 | 1.00000  | 0.38140 | 0.37674 |
|   17  |   DISC   |      0.65628       |    72.91013    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.32326 |
|   18  |   DISC   |      0.65566       |    72.91013    |  0.50000   | 1.00000 | 1.00000  | 0.25581 | 0.34884 |
|   19  |   DISC   |      0.65475       |    72.91013    |  0.50000   | 1.00000 | 1.00000  | 0.34186 | 0.37442 |
|   20  |   GEN    |      0.65475       |    62.23700    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.35814 |
|   21  |   GEN    |      0.65475       |    67.82575    |  0.50000   | 1.00000 | 1.00000  | 0.36744 | 0.27674 |
|   22  |   DISC   |      0.65451       |    67.82575    |  0.50000   | 1.00000 | 1.00000  | 0.37907 | 0.32791 |
|   23  |   DISC   |      0.65410       |    67.82575    |  0.50000   | 1.00000 | 1.00000  | 0.33721 | 0.34651 |
|   24  |   DISC   |      0.65500       |    67.82575    |  0.50000   | 1.00000 | 1.00000  | 0.35581 | 0.37209 |
|   25  |   DISC   |      0.65301       |    67.82575    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.33721 |
|   26  |   DISC   |      0.65191       |    67.82575    |  0.50000   | 1.00000 | 1.00000  | 0.35581 | 0.32326 |
|   27  |   GEN    |      0.65191       |    68.13879    |  0.50000   | 1.00000 | 1.00000  | 0.34186 | 0.31163 |
|   28  |   GEN    |      0.65191       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.34651 |
|   29  |   DISC   |      0.65085       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.31628 |
|   30  |   DISC   |      0.65075       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33721 | 0.39767 |
|   31  |   DISC   |      0.65229       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.36744 |
|   32  |   DISC   |      0.65067       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.38605 |
|   33  |   DISC   |      0.64954       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32558 | 0.33023 |
|   34  |   DISC   |      0.64883       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31628 | 0.36744 |
|   35  |   DISC   |      0.64773       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.37209 | 0.35581 |
|   36  |   DISC   |      0.64799       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.37209 |
|   37  |   DISC   |      0.64662       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.36512 | 0.33953 |
|   38  |   DISC   |      0.64684       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.36047 | 0.35581 |
|   39  |   DISC   |      0.64804       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.29535 | 0.30465 |
|   40  |   DISC   |      0.64529       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32093 | 0.36744 |
|   41  |   DISC   |      0.64565       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.28837 | 0.37442 |
|   42  |   DISC   |      0.64549       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.30930 | 0.31860 |
|   43  |   DISC   |      0.64342       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34419 | 0.35814 |
|   44  |   DISC   |      0.64405       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34419 | 0.31860 |
|   45  |   DISC   |      0.64278       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32093 | 0.32791 |
|   46  |   DISC   |      0.64172       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33023 | 0.35349 |
|   47  |   DISC   |      0.64120       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.36279 | 0.33488 |
|   48  |   DISC   |      0.64178       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34651 | 0.34651 |
|   49  |   DISC   |      0.64079       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.30000 |
|   50  |   DISC   |      0.63907       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31628 | 0.35116 |
|   51  |   DISC   |      0.63917       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.35349 | 0.33953 |
|   52  |   DISC   |      0.63805       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.37907 | 0.35116 |
|   53  |   DISC   |      0.63737       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32791 | 0.33953 |
|   54  |   DISC   |      0.63828       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.34651 |
|   55  |   DISC   |      0.63742       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.33721 |
|   56  |   DISC   |      0.63617       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.37674 | 0.33488 |
|   57  |   DISC   |      0.63701       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.30930 | 0.37442 |
|   58  |   DISC   |      0.63447       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.36744 |
|   59  |   DISC   |      0.63523       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31163 | 0.36977 |
|   60  |   DISC   |      0.63181       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32558 | 0.32558 |
|   61  |   DISC   |      0.63269       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33256 | 0.40000 |
|   62  |   DISC   |      0.63310       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.36512 | 0.37674 |
|   63  |   DISC   |      0.63156       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31395 | 0.35581 |
|   64  |   DISC   |      0.63108       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.36512 |
|   65  |   DISC   |      0.62997       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.38837 | 0.37907 |
|   66  |   DISC   |      0.63008       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34186 | 0.37907 |
|   67  |   DISC   |      0.62920       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.32326 |
|   68  |   DISC   |      0.62831       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33953 | 0.37674 |
|   69  |   DISC   |      0.62712       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.35116 |
|   70  |   DISC   |      0.62646       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.29767 | 0.33721 |
|   71  |   DISC   |      0.62675       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.33023 |
|   72  |   DISC   |      0.62466       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.36512 | 0.32093 |
|   73  |   DISC   |      0.62872       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31395 | 0.35581 |
|   74  |   DISC   |      0.62487       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33488 | 0.37907 |
|   75  |   DISC   |      0.62397       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.35814 | 0.39070 |
|   76  |   DISC   |      0.62463       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31860 | 0.35581 |
|   77  |   DISC   |      0.62258       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33256 | 0.32791 |
|   78  |   DISC   |      0.62161       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33721 | 0.34186 |
|   79  |   DISC   |      0.62268       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.32326 | 0.36744 |
|   80  |   DISC   |      0.62083       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.33953 | 0.38605 |
|   81  |   DISC   |      0.62139       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31628 | 0.37442 |
|   82  |   DISC   |      0.61927       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.31395 | 0.33953 |
|   83  |   DISC   |      0.61905       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34419 | 0.35116 |
|   84  |   DISC   |      0.61917       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.33721 |
|   85  |   DISC   |      0.62043       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.34884 | 0.32093 |
|   86  |   DISC   |      0.61740       |    67.70014    |  0.50000   | 1.00000 | 1.00000  | 0.35814 | 0.33721 |
