Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.69410,119.13139,0.49987,0.50449,0.50423,0.34852,0.35308
2,DISC,0.69376,119.13139,0.49998,0.50443,0.50438,0.35080,0.33030
3,DISC,0.69301,119.13139,0.50008,0.50437,0.50453,0.33485,0.35535
4,DISC,0.69343,119.13139,0.50017,0.50434,0.50468,0.35080,0.31435
5,DISC,0.69337,119.13139,0.50026,0.50431,0.50484,0.30752,0.33941
6,GEN,0.69337,116.55147,0.50030,0.50424,0.50484,0.36674,0.33257
7,GEN,0.69337,113.62903,0.50029,0.50425,0.50484,0.32574,0.35535
8,DISC,0.69279,113.62903,0.50041,0.50417,0.50498,0.30752,0.29157
9,DISC,0.69255,113.62903,0.50050,0.50412,0.50513,0.31435,0.35080
10,DISC,0.69218,113.62903,0.50059,0.50409,0.50528,0.34852,0.35991
11,DISC,0.69246,113.62903,0.50068,0.50406,0.50542,0.31435,0.35991
12,DISC,0.69184,113.62903,0.50079,0.50399,0.50557,0.35308,0.32574
13,GEN,0.69184,131.12654,0.50079,0.50398,0.50556,0.33030,0.26651
14,GEN,0.69184,122.88239,0.50078,0.50400,0.50557,0.33257,0.35535
15,DISC,0.69179,122.88239,0.50085,0.50400,0.50571,0.33941,0.34852
16,DISC,0.69171,122.88239,0.50096,0.50393,0.50585,0.36902,0.34624
17,DISC,0.69168,122.88239,0.50105,0.50389,0.50599,0.36674,0.30296
18,DISC,0.69119,122.88239,0.50116,0.50381,0.50613,0.34852,0.32346
19,DISC,0.69087,122.88239,0.50127,0.50374,0.50627,0.32574,0.36446
20,GEN,0.69087,119.59071,0.50123,0.50381,0.50627,0.32118,0.35080
21,GEN,0.69087,115.62144,0.50122,0.50383,0.50627,0.32574,0.33485
22,DISC,0.69109,115.62144,0.50133,0.50374,0.50640,0.33941,0.37585
23,DISC,0.69089,115.62144,0.50142,0.50370,0.50654,0.31891,0.33030
24,DISC,0.69069,115.62144,0.50149,0.50369,0.50667,0.37130,0.33257
25,DISC,0.69109,115.62144,0.50160,0.50361,0.50680,0.33713,0.33485
26,DISC,0.69055,115.62144,0.50168,0.50357,0.50693,0.33030,0.30068
27,GEN,0.69055,118.77027,0.50168,0.50357,0.50693,0.35991,0.34852
28,GEN,0.69055,112.79710,0.50163,0.50366,0.50693,0.35763,0.32118
29,DISC,0.69005,112.79710,0.50176,0.50354,0.50705,0.33030,0.33713
30,DISC,0.68983,112.79710,0.50183,0.50351,0.50717,0.33941,0.31435
31,DISC,0.69004,112.79710,0.50190,0.50349,0.50729,0.33485,0.35535
32,DISC,0.69002,112.79710,0.50202,0.50337,0.50741,0.32346,0.34852
33,DISC,0.68949,112.79710,0.50208,0.50337,0.50752,0.34169,0.31891
34,DISC,0.68960,112.79710,0.50219,0.50325,0.50763,0.32802,0.31663
35,DISC,0.68900,112.79710,0.50228,0.50319,0.50774,0.31663,0.35308
36,DISC,0.68925,112.79710,0.50236,0.50313,0.50786,0.35991,0.33941
37,DISC,0.68890,112.79710,0.50239,0.50317,0.50796,0.34169,0.32574
38,DISC,0.68889,112.79710,0.50254,0.50300,0.50807,0.38269,0.35535
39,DISC,0.68893,112.79710,0.50260,0.50299,0.50818,0.34169,0.32574
40,DISC,0.68831,112.79710,0.50269,0.50291,0.50829,0.36902,0.33030
41,DISC,0.68835,112.79710,0.50278,0.50284,0.50840,0.29385,0.32574
42,DISC,0.68768,112.79710,0.50285,0.50281,0.50851,0.33030,0.32346
43,DISC,0.68760,112.79710,0.50294,0.50274,0.50862,0.32574,0.34852
44,DISC,0.68772,112.79710,0.50304,0.50265,0.50873,0.35535,0.33257
45,DISC,0.68745,112.79710,0.50314,0.50256,0.50884,0.35763,0.38269
46,DISC,0.68736,112.79710,0.50321,0.50253,0.50895,0.31891,0.35080
47,DISC,0.68739,112.79710,0.50327,0.50253,0.50906,0.32802,0.38952
48,DISC,0.68702,112.79710,0.50339,0.50240,0.50918,0.30068,0.28018
49,DISC,0.68685,112.79710,0.50347,0.50236,0.50929,0.33485,0.31207
50,DISC,0.68652,112.79710,0.50357,0.50227,0.50940,0.33485,0.32118
51,DISC,0.68676,112.79710,0.50363,0.50225,0.50952,0.35535,0.36446
52,DISC,0.68639,112.79710,0.50374,0.50215,0.50963,0.33941,0.30524
53,DISC,0.68612,112.79710,0.50383,0.50209,0.50974,0.30296,0.36674
54,DISC,0.68588,112.79710,0.50390,0.50205,0.50985,0.31207,0.37813
55,DISC,0.68562,112.79710,0.50400,0.50197,0.50997,0.30296,0.32118
56,DISC,0.68541,112.79710,0.50412,0.50184,0.51009,0.33257,0.32118
57,DISC,0.68518,112.79710,0.50420,0.50180,0.51020,0.34624,0.35080
58,DISC,0.68500,112.79710,0.50427,0.50178,0.51032,0.31891,0.33941
59,DISC,0.68461,112.79710,0.50436,0.50172,0.51044,0.32574,0.29613
60,DISC,0.68432,112.79710,0.50444,0.50167,0.51056,0.32118,0.36902
61,DISC,0.68454,112.79710,0.50455,0.50157,0.51067,0.34169,0.34624
62,DISC,0.68438,112.79710,0.50466,0.50146,0.51078,0.34169,0.36219
63,DISC,0.68415,112.79710,0.50474,0.50141,0.51090,0.31891,0.34624
64,DISC,0.68391,112.79710,0.50485,0.50132,0.51102,0.32802,0.39408
65,DISC,0.68349,112.79710,0.50495,0.50124,0.51114,0.35991,0.32802
66,DISC,0.68361,112.79710,0.50503,0.50120,0.51127,0.37130,0.30524
67,DISC,0.68324,112.79710,0.50514,0.50112,0.51140,0.32574,0.38952
68,DISC,0.68314,112.79710,0.50525,0.50103,0.51153,0.33713,0.32574
69,DISC,0.68301,112.79710,0.50534,0.50099,0.51168,0.32802,0.36674
70,DISC,0.68280,112.79710,0.50550,0.50083,0.51183,0.33030,0.34852
