+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
| Epoch | Training | Discriminator Loss | Generator Loss | D_Accuracy |  D_fpR  | D_Recall |  A_fpR  |  U_fpR  |
+-------+----------+--------------------+----------------+------------+---------+----------+---------+---------+
|   1   |   DISC   |      0.69414       |    40.43900    |  0.50000   | 1.00000 | 1.00000  | 0.30456 | 0.33573 |
|   2   |   DISC   |      0.69434       |    40.43900    |  0.50000   | 1.00000 | 1.00000  | 0.33813 | 0.32854 |
|   3   |   DISC   |      0.69371       |    40.43900    |  0.50000   | 1.00000 | 1.00000  | 0.34053 | 0.34772 |
|   4   |   DISC   |      0.69373       |    40.43900    |  0.50000   | 1.00000 | 1.00000  | 0.34772 | 0.32854 |
|   5   |   DISC   |      0.69229       |    40.43900    |  0.50000   | 1.00000 | 1.00000  | 0.33333 | 0.32614 |
|   6   |   GEN    |      0.69229       |    42.64848    |  0.50000   | 1.00000 | 1.00000  | 0.37170 | 0.35252 |
|   7   |   GEN    |      0.69229       |    42.86949    |  0.50000   | 1.00000 | 1.00000  | 0.28297 | 0.33333 |
|   8   |   DISC   |      0.69226       |    42.86949    |  0.50000   | 1.00000 | 1.00000  | 0.33333 | 0.29976 |
|   9   |   DISC   |      0.69176       |    42.86949    |  0.50000   | 1.00000 | 1.00000  | 0.34293 | 0.32854 |
|   10  |   DISC   |      0.69154       |    42.86949    |  0.50000   | 1.00000 | 1.00000  | 0.31655 | 0.34293 |
|   11  |   DISC   |      0.69023       |    42.86949    |  0.50000   | 1.00000 | 1.00000  | 0.33573 | 0.32614 |
|   12  |   DISC   |      0.68955       |    42.86949    |  0.50000   | 1.00000 | 1.00000  | 0.30216 | 0.28537 |
|   13  |   GEN    |      0.68955       |    39.74873    |  0.50000   | 1.00000 | 1.00000  | 0.35252 | 0.34532 |
|   14  |   GEN    |      0.68955       |    38.95357    |  0.50000   | 1.00000 | 1.00000  | 0.33333 | 0.31655 |
|   15  |   DISC   |      0.68956       |    38.95357    |  0.50000   | 1.00000 | 1.00000  | 0.34053 | 0.35252 |
|   16  |   DISC   |      0.69062       |    38.95357    |  0.50000   | 1.00000 | 1.00000  | 0.33813 | 0.33333 |
|   17  |   DISC   |      0.68956       |    38.95357    |  0.50000   | 1.00000 | 1.00000  | 0.36451 | 0.30456 |
|   18  |   DISC   |      0.68906       |    38.95357    |  0.50000   | 1.00000 | 1.00000  | 0.34053 | 0.30935 |
|   19  |   DISC   |      0.68744       |    38.95357    |  0.50000   | 1.00000 | 1.00000  | 0.32854 | 0.34772 |
|   20  |   GEN    |      0.68744       |    37.33318    |  0.50000   | 1.00000 | 1.00000  | 0.30216 | 0.32374 |
|   21  |   GEN    |      0.68744       |    41.05599    |  0.50000   | 1.00000 | 1.00000  | 0.32854 | 0.33573 |
|   22  |   DISC   |      0.68714       |    41.05599    |  0.50000   | 1.00000 | 1.00000  | 0.35971 | 0.37170 |
|   23  |   DISC   |      0.68782       |    41.05599    |  0.50000   | 1.00000 | 1.00000  | 0.36451 | 0.30695 |
