Epoch,Training,Discriminator Loss,Generator Loss,D_Accuracy,D_fpR,D_Recall,A_fpR,U_fpR
1,DISC,0.70121,48.33510,0.50000,1.00000,1.00000,0.35883,0.31148
2,DISC,0.70105,48.33510,0.50000,1.00000,1.00000,0.30055,0.32969
3,DISC,0.70069,48.33510,0.50000,1.00000,1.00000,0.33333,0.34608
4,DISC,0.70027,48.33510,0.50000,1.00000,1.00000,0.34426,0.32058
5,DISC,0.70087,48.33510,0.50000,1.00000,1.00000,0.31512,0.32058
6,GEN,0.70087,51.94603,0.50000,1.00000,1.00000,0.34426,0.39709
7,GEN,0.70087,50.86652,0.50000,1.00000,1.00000,0.31876,0.32787
8,DISC,0.69980,50.86652,0.50000,1.00000,1.00000,0.32240,0.31512
9,DISC,0.69974,50.86652,0.50000,1.00000,1.00000,0.30965,0.31148
10,DISC,0.69987,50.86652,0.50000,1.00000,1.00000,0.29690,0.29872
11,DISC,0.69970,50.86652,0.50000,1.00000,1.00000,0.32969,0.31148
12,DISC,0.69997,50.86652,0.50000,1.00000,1.00000,0.34973,0.30237
13,GEN,0.69997,47.74175,0.50000,1.00000,1.00000,0.33333,0.31148
14,GEN,0.69997,48.29234,0.50000,1.00000,1.00000,0.31330,0.33515
15,DISC,0.69946,48.29234,0.50000,1.00000,1.00000,0.34973,0.32423
16,DISC,0.69915,48.29234,0.50000,1.00000,1.00000,0.36066,0.31330
17,DISC,0.69926,48.29234,0.50000,1.00000,1.00000,0.30783,0.30783
18,DISC,0.69895,48.29234,0.50000,1.00000,1.00000,0.30055,0.32605
19,DISC,0.69942,48.29234,0.50000,1.00000,1.00000,0.34426,0.29872
20,GEN,0.69942,45.50478,0.50000,1.00000,1.00000,0.34608,0.30965
21,GEN,0.69942,45.89237,0.50000,1.00000,1.00000,0.34426,0.31512
22,DISC,0.69936,45.89237,0.50000,1.00000,1.00000,0.31694,0.33880
23,DISC,0.69930,45.89237,0.50000,1.00000,1.00000,0.34973,0.33333
24,DISC,0.69916,45.89237,0.50000,1.00000,1.00000,0.34062,0.35155
25,DISC,0.69882,45.89237,0.50000,1.00000,1.00000,0.32605,0.32969
26,DISC,0.69854,45.89237,0.50000,1.00000,1.00000,0.30055,0.31512
27,GEN,0.69854,46.39184,0.50000,1.00000,1.00000,0.31694,0.33151
28,GEN,0.69854,49.62300,0.50000,1.00000,1.00000,0.33151,0.34608
29,DISC,0.69905,49.62300,0.50000,1.00000,1.00000,0.34608,0.33698
30,DISC,0.69822,49.62300,0.50000,1.00000,1.00000,0.33333,0.32423
31,DISC,0.69833,49.62300,0.50000,1.00000,1.00000,0.31694,0.32787
32,DISC,0.69886,49.62300,0.50000,1.00000,1.00000,0.34791,0.33880
33,DISC,0.69797,49.62300,0.50000,1.00000,1.00000,0.33880,0.36066
34,DISC,0.69822,49.62300,0.50000,1.00000,1.00000,0.36066,0.34062
35,DISC,0.69806,49.62300,0.50000,1.00000,1.00000,0.32605,0.33151
36,DISC,0.69805,49.62300,0.50000,1.00000,1.00000,0.33515,0.32058
37,DISC,0.69720,49.62300,0.50000,1.00000,1.00000,0.30965,0.31330
38,DISC,0.69750,49.62300,0.50000,1.00000,1.00000,0.36066,0.33698
39,DISC,0.69707,49.62300,0.50000,1.00000,1.00000,0.34791,0.27869
40,DISC,0.69732,49.62300,0.50000,1.00000,1.00000,0.33698,0.32787
41,DISC,0.69720,49.62300,0.50000,1.00000,1.00000,0.33151,0.32240
42,DISC,0.69735,49.62300,0.50000,1.00000,1.00000,0.33333,0.36976
43,DISC,0.69689,49.62300,0.50000,1.00000,1.00000,0.33151,0.35519
44,DISC,0.69728,49.62300,0.50000,1.00000,1.00000,0.31148,0.32605
45,DISC,0.69689,49.62300,0.50000,1.00000,1.00000,0.32787,0.33515
46,DISC,0.69668,49.62300,0.50000,1.00000,1.00000,0.34426,0.34608
47,DISC,0.69649,49.62300,0.50000,1.00000,1.00000,0.32423,0.33151
48,DISC,0.69618,49.62300,0.50000,1.00000,1.00000,0.33698,0.33333
49,DISC,0.69641,49.62300,0.50000,1.00000,1.00000,0.37705,0.33333
50,DISC,0.69581,49.62300,0.50000,1.00000,1.00000,0.26594,0.36248
51,DISC,0.69571,49.62300,0.50000,1.00000,1.00000,0.36430,0.33151
52,DISC,0.69571,49.62300,0.50000,1.00000,1.00000,0.32423,0.31512
53,DISC,0.69552,49.62300,0.50000,1.00000,1.00000,0.32787,0.31512
54,DISC,0.69568,49.62300,0.50000,1.00000,1.00000,0.31148,0.30601
55,DISC,0.69565,49.62300,0.50000,1.00000,1.00000,0.32423,0.31330
56,DISC,0.69575,49.62300,0.50000,1.00000,1.00000,0.36248,0.34973
57,DISC,0.69558,49.62300,0.50000,1.00000,1.00000,0.32969,0.37341
58,DISC,0.69489,49.62300,0.50000,1.00000,1.00000,0.31876,0.29144
59,DISC,0.69480,49.62300,0.50000,1.00000,1.00000,0.34608,0.34608
60,DISC,0.69468,49.62300,0.50000,1.00000,1.00000,0.34062,0.35155
61,DISC,0.69476,49.62300,0.50000,1.00000,1.00000,0.34791,0.30601
62,DISC,0.69489,49.62300,0.50000,1.00000,1.00000,0.34062,0.34062
63,DISC,0.69396,49.62300,0.50000,1.00000,1.00000,0.35883,0.36794
64,DISC,0.69429,49.62300,0.50000,1.00000,1.00000,0.34062,0.32605
65,DISC,0.69396,49.62300,0.50000,1.00000,1.00000,0.33880,0.30601
66,DISC,0.69369,49.62300,0.50000,1.00000,1.00000,0.31330,0.35883
67,DISC,0.69352,49.62300,0.50000,1.00000,1.00000,0.38980,0.32240
68,DISC,0.69317,49.62300,0.50000,1.00000,1.00000,0.33880,0.31512
69,DISC,0.69287,49.62300,0.50000,1.00000,1.00000,0.38251,0.29508
70,DISC,0.69257,49.62300,0.50000,1.00000,1.00000,0.35883,0.32787
71,DISC,0.69272,49.62300,0.50000,1.00000,1.00000,0.32423,0.32058
72,DISC,0.69192,49.62300,0.50000,1.00000,1.00000,0.36612,0.33515
73,DISC,0.69207,49.62300,0.50000,1.00000,1.00000,0.33151,0.31876
74,DISC,0.69179,49.62300,0.50000,1.00000,1.00000,0.34062,0.34426
75,DISC,0.69178,49.62300,0.50000,1.00000,1.00000,0.30783,0.38434
76,DISC,0.69128,49.62300,0.50000,1.00000,1.00000,0.34608,0.34608
77,DISC,0.69166,49.62300,0.50000,1.00000,1.00000,0.32787,0.33698
78,DISC,0.69062,49.62300,0.50000,1.00000,1.00000,0.36794,0.29872
79,DISC,0.69041,49.62300,0.50000,1.00000,1.00000,0.31512,0.34973
80,DISC,0.69011,49.62300,0.50000,1.00000,1.00000,0.31694,0.28597
81,DISC,0.68969,49.62300,0.50000,1.00000,1.00000,0.36794,0.29326
82,DISC,0.68935,49.62300,0.50000,1.00000,1.00000,0.30601,0.30237
83,DISC,0.68909,49.62300,0.50000,1.00000,1.00000,0.30601,0.33151
84,DISC,0.68890,49.62300,0.50000,1.00000,1.00000,0.32969,0.30601
85,DISC,0.68875,49.62300,0.50000,1.00000,1.00000,0.35519,0.31876
86,DISC,0.68811,49.62300,0.50000,1.00000,1.00000,0.33880,0.34062
87,DISC,0.68757,49.62300,0.50000,1.00000,1.00000,0.30419,0.33333
88,DISC,0.68762,49.62300,0.50000,1.00000,1.00000,0.34973,0.30055
89,DISC,0.68741,49.62300,0.50000,1.00000,1.00000,0.32605,0.32969
90,DISC,0.68688,49.62300,0.50000,1.00000,1.00000,0.31512,0.31330
91,DISC,0.68656,49.62300,0.50000,1.00000,1.00000,0.33515,0.30055
92,DISC,0.68589,49.62300,0.50000,1.00000,1.00000,0.33880,0.34062
93,DISC,0.68533,49.62300,0.50000,1.00000,1.00000,0.30237,0.32423
94,DISC,0.68533,49.62300,0.50000,1.00000,1.00000,0.32240,0.30055
95,DISC,0.68492,49.62300,0.50000,1.00000,1.00000,0.31694,0.32605
96,DISC,0.68453,49.62300,0.50000,1.00000,1.00000,0.34062,0.31330
97,DISC,0.68438,49.62300,0.50000,1.00000,1.00000,0.34791,0.34608
98,DISC,0.68334,49.62300,0.50000,1.00000,1.00000,0.34062,0.36430
99,DISC,0.68355,49.62300,0.50000,1.00000,1.00000,0.30783,0.34791
100,DISC,0.68333,49.62300,0.50000,1.00000,1.00000,0.34426,0.30419
101,DISC,0.68281,49.62300,0.50000,1.00000,1.00000,0.31330,0.28780
102,DISC,0.68283,49.62300,0.50000,1.00000,1.00000,0.34973,0.32058
103,DISC,0.68174,49.62300,0.50000,1.00000,1.00000,0.34791,0.37705
104,DISC,0.68170,49.62300,0.50000,1.00000,1.00000,0.33333,0.35701
105,DISC,0.68122,49.62300,0.50000,1.00000,1.00000,0.34973,0.32423
106,DISC,0.68051,49.62300,0.50000,1.00000,1.00000,0.35883,0.29326
107,DISC,0.68013,49.62300,0.50000,1.00000,1.00000,0.33880,0.32605
108,DISC,0.67964,49.62300,0.50000,1.00000,1.00000,0.34244,0.30965
109,DISC,0.67940,49.62300,0.50000,1.00000,1.00000,0.30965,0.34426
110,DISC,0.67914,49.62300,0.50000,1.00000,1.00000,0.30965,0.33698
111,DISC,0.67891,49.62300,0.50000,1.00000,1.00000,0.33698,0.31330
112,DISC,0.67852,49.62300,0.50000,1.00000,1.00000,0.36612,0.30237
113,DISC,0.67784,49.62300,0.50000,1.00000,1.00000,0.36976,0.34062
114,DISC,0.67743,49.62300,0.50000,1.00000,1.00000,0.36794,0.31876
115,DISC,0.67650,49.62300,0.50000,1.00000,1.00000,0.33880,0.30601
116,DISC,0.67586,49.62300,0.50000,1.00000,1.00000,0.33698,0.32240
117,DISC,0.67623,49.62300,0.50000,1.00000,1.00000,0.36794,0.36430
118,DISC,0.67582,49.62300,0.50000,1.00000,1.00000,0.32240,0.35337
119,DISC,0.67505,49.62300,0.50000,1.00000,1.00000,0.33151,0.34062
120,DISC,0.67451,49.62300,0.50000,1.00000,1.00000,0.32969,0.36794
121,DISC,0.67406,49.62300,0.50000,1.00000,1.00000,0.31148,0.30965
122,DISC,0.67284,49.62300,0.50000,1.00000,1.00000,0.33880,0.32605
123,DISC,0.67257,49.62300,0.50000,1.00000,1.00000,0.36248,0.36248
124,DISC,0.67190,49.62300,0.50000,1.00000,1.00000,0.30965,0.34244
125,DISC,0.67182,49.62300,0.50000,1.00000,1.00000,0.35155,0.34608
126,DISC,0.67073,49.62300,0.50000,1.00000,1.00000,0.32605,0.35519
127,DISC,0.67122,49.62300,0.50000,1.00000,1.00000,0.32969,0.28233
128,DISC,0.66985,49.62300,0.50000,1.00000,1.00000,0.33515,0.32969
129,DISC,0.67042,49.62300,0.50000,1.00000,1.00000,0.28597,0.31512
130,DISC,0.66968,49.62300,0.50000,1.00000,1.00000,0.33880,0.35883
131,DISC,0.66856,49.62300,0.50000,1.00000,1.00000,0.32969,0.30055
