2021-06-07 14:27:54,263 DEBUG   Thread-11 :4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /files/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/file_stream HTTP/1.1" 200 None
2021-06-07 14:27:54,381 DEBUG   Thread-19 :4768 [connectionpool.py:_make_request():452] https://storage.googleapis.com:443 "PUT /wandb-production.appspot.com/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/wandb-metadata.json?Expires=1623176873&GoogleAccessId=wandb-production%40appspot.gserviceaccount.com&Signature=qbdOdDPQCNmS1n3j9r1fG2PbvRRoI7H7o5CB1KEoSQQKS6Jz3QPi%2F81MdsiwgrhyD8fxRIpOFs6GGg9fKhAb9Dwxm5muL7bxDdrhycIrD%2BfDWw9qoss5aIVZ1mqfSFD2EsRtVfWbNUVls%2BzqeJ0xddELmXxLtIzcMGLv8qGPUK5rU4ocTStvBlN870RUpEGZXHKyDlF7Lr5dkY5wVfE3%2BoxMaZ4R%2B5CzDvHo%2FZrgUKPG7SA1nt0JLbxnIudenhGylMNs15YB9OxBrKnc%2B4dGwGVNm5QQuZb1gHxW2UJBP6uICfhT5BkZylBg%2B5l%2FuUfU9ZFQhNVVJTn9fNPzLSin2Q%3D%3D HTTP/1.1" 200 0
2021-06-07 14:27:54,382 INFO    Thread-19 :4768 [upload_job.py:push():133] Uploaded file C:\Users\jdeoliveira\AppData\Local\Temp\tmpofvdcs5gwandb\3c2ixhf1-wandb-metadata.json
2021-06-07 14:27:57,689 DEBUG   SenderThread:4768 [sender.py:send():117] send: stats
2021-06-07 14:27:57,779 DEBUG   Thread-11 :4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /files/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/file_stream HTTP/1.1" 200 None
2021-06-07 14:28:02,740 DEBUG   SenderThread:4768 [sender.py:send():117] send: stats
2021-06-07 14:28:02,849 DEBUG   Thread-11 :4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /files/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/file_stream HTTP/1.1" 200 None
2021-06-07 14:28:07,734 DEBUG   SenderThread:4768 [sender.py:send():117] send: stats
2021-06-07 14:28:07,831 DEBUG   Thread-11 :4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /files/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/file_stream HTTP/1.1" 200 None
2021-06-07 14:28:09,103 DEBUG   HandlerThread:4768 [handler.py:handle_request():55] handle_request: status
2021-06-07 14:28:09,104 DEBUG   SenderThread:4768 [sender.py:send():117] send: request
2021-06-07 14:28:09,104 DEBUG   SenderThread:4768 [sender.py:send_request():126] send_request: status
2021-06-07 14:28:09,107 DEBUG   SenderThread:4768 [connectionpool.py:_new_conn():971] Starting new HTTPS connection (1): api.wandb.ai:443
2021-06-07 14:28:09,218 DEBUG   SenderThread:4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2021-06-07 14:28:12,719 DEBUG   SenderThread:4768 [sender.py:send():117] send: stats
2021-06-07 14:28:12,808 DEBUG   Thread-11 :4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /files/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/file_stream HTTP/1.1" 200 None
2021-06-07 14:28:17,738 DEBUG   SenderThread:4768 [sender.py:send():117] send: stats
2021-06-07 14:28:17,823 DEBUG   Thread-11 :4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /files/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/file_stream HTTP/1.1" 200 None
2021-06-07 14:28:22,729 DEBUG   SenderThread:4768 [sender.py:send():117] send: stats
2021-06-07 14:28:22,827 DEBUG   Thread-11 :4768 [connectionpool.py:_make_request():452] https://api.wandb.ai:443 "POST /files/jcdeoliveira/REU2021-human-context-recognition-ExtraSensory_data_models/3tef2urq/file_stream HTTP/1.1" 200 None
