+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss |   FPR   |  Recall | Median Wasserstein | Mean Wasserstein |
|   56  |  Discriminator   |      0.68015       |    0.57758     | 1.00000 | 1.00000 |      0.53491       |     0.50275      |
|   57  |  Discriminator   |      0.67618       |    0.58035     | 1.00000 | 1.00000 |      0.36226       |     0.40830      |
|   58  |  Discriminator   |      0.67710       |    0.58107     | 1.00000 | 1.00000 |      0.41969       |     0.45705      |
|   59  |  Discriminator   |      0.67341       |    0.58052     | 1.00000 | 1.00000 |      0.40523       |     0.42976      |
|   60  |  Discriminator   |      0.67045       |    0.58028     | 1.00000 | 1.00000 |      0.39887       |     0.44379      |
|   61  |  Discriminator   |      0.66944       |    0.57904     | 1.00000 | 1.00000 |      0.54003       |     0.54125      |
|   62  |  Discriminator   |      0.66526       |    0.58247     | 1.00000 | 1.00000 |      0.56228       |     0.54815      |
|   63  |  Discriminator   |      0.66434       |    0.57999     | 1.00000 | 1.00000 |      0.37416       |     0.40953      |
|   64  |  Discriminator   |      0.66253       |    0.58186     | 1.00000 | 1.00000 |      0.48495       |     0.49235      |
|   65  |  Discriminator   |      0.65777       |    0.58311     | 1.00000 | 1.00000 |      0.47661       |     0.48387      |
|   66  |  Discriminator   |      0.64605       |    0.58264     | 1.00000 | 1.00000 |      0.43197       |     0.45771      |
|   67  |  Discriminator   |      0.64624       |    0.58228     | 1.00000 | 1.00000 |      0.40917       |     0.41550      |
|   68  |  Discriminator   |      0.64414       |    0.58347     | 1.00000 | 1.00000 |      0.41601       |     0.46870      |
|   69  |  Discriminator   |      0.63798       |    0.58351     | 1.00000 | 1.00000 |      0.50601       |     0.56734      |
|   70  |  Discriminator   |      0.63379       |    0.58350     | 1.00000 | 1.00000 |      0.41385       |     0.44468      |
|   71  |  Discriminator   |      0.63075       |    0.58226     | 1.00000 | 1.00000 |      0.45770       |     0.47085      |
|   72  |  Discriminator   |      0.61538       |    0.58130     | 1.00000 | 1.00000 |      0.43081       |     0.43055      |
|   73  |  Discriminator   |      0.62935       |    0.58623     | 1.00000 | 1.00000 |      0.50986       |     0.53129      |
|   74  |  Discriminator   |      0.61862       |    0.58583     | 1.00000 | 1.00000 |      0.52930       |     0.57275      |
|   75  |  Discriminator   |      0.62454       |    0.58732     | 1.00000 | 1.00000 |      0.55815       |     0.59713      |
|   76  |  Discriminator   |      0.59923       |    0.59084     | 1.00000 | 1.00000 |      0.49731       |     0.52593      |
|   77  |  Discriminator   |      0.59453       |    0.59140     | 1.00000 | 1.00000 |      0.46079       |     0.49179      |
|   78  |  Discriminator   |      0.59631       |    0.59353     | 1.00000 | 1.00000 |      0.61876       |     0.64515      |
|   79  |  Discriminator   |      0.58317       |    0.59642     | 1.00000 | 1.00000 |      0.47564       |     0.45613      |
|   80  |  Discriminator   |      0.59610       |    0.59914     | 1.00000 | 1.00000 |      0.54693       |     0.55530      |
|   81  |  Discriminator   |      0.57319       |    0.60741     | 1.00000 | 1.00000 |      0.42755       |     0.42853      |
|   82  |  Discriminator   |      0.58374       |    0.61190     | 1.00000 | 1.00000 |      0.45618       |     0.48794      |
|   83  |  Discriminator   |      0.56098       |    0.61954     | 1.00000 | 1.00000 |      0.43407       |     0.45141      |
|   84  |  Discriminator   |      0.53994       |    0.62334     | 1.00000 | 0.96154 |      0.47894       |     0.49058      |
|   85  |  Discriminator   |      0.55955       |    0.62450     | 1.00000 | 0.96154 |      0.49613       |     0.50848      |
|   86  |  Discriminator   |      0.54417       |    0.63087     | 0.96154 | 1.00000 |      0.41208       |     0.44313      |
|   87  |  Discriminator   |      0.53973       |    0.64056     | 1.00000 | 1.00000 |      0.51010       |     0.56793      |
|   88  |  Discriminator   |      0.51188       |    0.63727     | 0.96154 | 1.00000 |      0.40518       |     0.43600      |
|   89  |  Discriminator   |      0.53359       |    0.64722     | 0.96154 | 0.88462 |      0.56064       |     0.58152      |
|   90  |  Discriminator   |      0.52121       |    0.65459     | 0.84615 | 1.00000 |      0.51098       |     0.51460      |
|   91  |  Discriminator   |      0.50655       |    0.65605     | 0.84615 | 1.00000 |      0.42040       |     0.47211      |
|   92  |  Discriminator   |      0.53126       |    0.66915     | 0.80769 | 1.00000 |      0.58078       |     0.57603      |
|   93  |  Discriminator   |      0.50627       |    0.66560     | 0.76923 | 1.00000 |      0.53690       |     0.52286      |
|   94  |  Discriminator   |      0.47925       |    0.68007     | 0.69231 | 1.00000 |      0.44207       |     0.45432      |
|   95  |  Discriminator   |      0.47919       |    0.69292     | 0.46154 | 0.96154 |      0.46045       |     0.48239      |
|   96  |  Discriminator   |      0.47334       |    0.69819     | 0.57692 | 0.96154 |      0.44449       |     0.46892      |
|   97  |  Discriminator   |      0.47577       |    0.70340     | 0.42308 | 1.00000 |      0.46721       |     0.46799      |
|   98  |  Discriminator   |      0.45453       |    0.72374     | 0.26923 | 1.00000 |      0.41826       |     0.46793      |
|   99  |  Discriminator   |      0.44412       |    0.73578     | 0.38462 | 0.96154 |      0.45359       |     0.50807      |
|  100  |  Discriminator   |      0.44290       |    0.75263     | 0.23077 | 1.00000 |      0.41256       |     0.41813      |
|  101  |  Discriminator   |      0.44229       |    0.78450     | 0.15385 | 0.96154 |      0.45500       |     0.46549      |
|  102  |    Generator     |      0.44229       |    0.72232     | 0.30769 | 0.96154 |      0.46758       |     0.50185      |
|  103  |    Generator     |      0.44229       |    0.71487     | 0.38462 | 0.96154 |      0.32287       |     0.39363      |
|  104  |    Generator     |      0.44229       |    0.65197     | 0.57692 | 0.92308 |      0.63803       |     0.65496      |
|  105  |    Generator     |      0.44229       |    0.61103     | 0.65385 | 1.00000 |      0.30368       |     0.35440      |
|  106  |    Generator     |      0.44229       |    0.54786     | 0.76923 | 1.00000 |      0.46781       |     0.49224      |
|  107  |    Generator     |      0.44229       |    0.49432     | 0.88462 | 1.00000 |      0.35186       |     0.40055      |
|  108  |  Discriminator   |      0.62309       |    0.51362     | 0.84615 | 0.96154 |      0.43087       |     0.43679      |
|  109  |  Discriminator   |      0.56770       |    0.57254     | 0.61538 | 0.96154 |      0.42977       |     0.45504      |
|  110  |  Discriminator   |      0.55663       |    0.59714     | 0.69231 | 0.92308 |      0.38483       |     0.41694      |
|  111  |  Discriminator   |      0.54081       |    0.65664     | 0.53846 | 1.00000 |      0.39681       |     0.40785      |
|  112  |  Discriminator   |      0.51408       |    0.67921     | 0.53846 | 0.92308 |      0.36225       |     0.37489      |
|  113  |  Discriminator   |      0.50746       |    0.68777     | 0.38462 | 1.00000 |      0.45507       |     0.43464      |
|  114  |  Discriminator   |      0.51212       |    0.73196     | 0.42308 | 1.00000 |      0.53753       |     0.54886      |
|  115  |  Discriminator   |      0.49487       |    0.75165     | 0.26923 | 0.88462 |      0.47019       |     0.48933      |
|  116  |  Discriminator   |      0.48812       |    0.71719     | 0.30769 | 0.88462 |      0.55682       |     0.54544      |
|  117  |  Discriminator   |      0.49758       |    0.74890     | 0.38462 | 1.00000 |      0.42107       |     0.42720      |
|  118  |  Discriminator   |      0.45821       |    0.78831     | 0.15385 | 0.96154 |      0.33738       |     0.36690      |
|  119  |    Generator     |      0.45821       |    0.70616     | 0.23077 | 1.00000 |      0.52892       |     0.53007      |
|  120  |    Generator     |      0.45821       |    0.65443     | 0.46154 | 0.96154 |      0.39096       |     0.40334      |
|  121  |    Generator     |      0.45821       |    0.58941     | 0.73077 | 0.96154 |      0.43755       |     0.44322      |
|  122  |    Generator     |      0.45821       |    0.54942     | 0.73077 | 0.92308 |      0.42025       |     0.45170      |
|  123  |    Generator     |      0.45821       |    0.47626     | 0.80769 | 1.00000 |      0.52129       |     0.52741      |
|  124  |  Discriminator   |      0.66607       |    0.50156     | 0.84615 | 0.92308 |      0.41880       |     0.42354      |
|  125  |  Discriminator   |      0.64916       |    0.54460     | 0.84615 | 0.96154 |      0.52161       |     0.52811      |
|  126  |  Discriminator   |      0.62992       |    0.58536     | 0.69231 | 0.92308 |      0.35165       |     0.37202      |
|  127  |  Discriminator   |      0.57671       |    0.58125     | 0.53846 | 0.92308 |      0.28748       |     0.32509      |
|  128  |  Discriminator   |      0.59965       |    0.62204     | 0.65385 | 0.84615 |      0.41376       |     0.40569      |
|  129  |  Discriminator   |      0.58163       |    0.61885     | 0.61538 | 0.88462 |      0.30686       |     0.32528      |
|  130  |  Discriminator   |      0.60510       |    0.64887     | 0.50000 | 0.76923 |      0.39874       |     0.40717      |
|  131  |  Discriminator   |      0.59483       |    0.64784     | 0.46154 | 0.88462 |      0.28603       |     0.32315      |
|  132  |  Discriminator   |      0.55798       |    0.69922     | 0.42308 | 0.92308 |      0.46668       |     0.41705      |
|  133  |  Discriminator   |      0.58024       |    0.71127     | 0.23077 | 0.80769 |      0.33134       |     0.34140      |
|  134  |  Discriminator   |      0.55293       |    0.70441     | 0.34615 | 0.80769 |      0.36767       |     0.37586      |
|  135  |  Discriminator   |      0.52961       |    0.71839     | 0.42308 | 0.73077 |      0.32693       |     0.35313      |
|  136  |  Discriminator   |      0.55106       |    0.75500     | 0.34615 | 0.84615 |      0.40211       |     0.39176      |
|  137  |  Discriminator   |      0.55834       |    0.76400     | 0.38462 | 0.73077 |      0.36842       |     0.36521      |
|  138  |  Discriminator   |      0.54135       |    0.76109     | 0.26923 | 0.96154 |      0.44428       |     0.42693      |
|  139  |  Discriminator   |      0.52852       |    0.74073     | 0.19231 | 0.76923 |      0.45192       |     0.48149      |
|  140  |  Discriminator   |      0.52962       |    0.75387     | 0.34615 | 0.96154 |      0.33615       |     0.36256      |
|  141  |  Discriminator   |      0.52688       |    0.79006     | 0.23077 | 0.73077 |      0.41695       |     0.41504      |
|  142  |  Discriminator   |      0.51059       |    0.79716     | 0.30769 | 0.88462 |      0.45473       |     0.47872      |
|  143  |  Discriminator   |      0.48736       |    0.80172     | 0.19231 | 0.96154 |      0.44987       |     0.44566      |
|  144  |    Generator     |      0.48736       |    0.74670     | 0.46154 | 1.00000 |      0.43448       |     0.42699      |
|  145  |    Generator     |      0.48736       |    0.68823     | 0.46154 | 0.96154 |      0.37875       |     0.38786      |
|  146  |    Generator     |      0.48736       |    0.57756     | 0.69231 | 0.88462 |      0.27327       |     0.32476      |
|  147  |    Generator     |      0.48736       |    0.52817     | 0.65385 | 0.84615 |      0.34153       |     0.34156      |
|  148  |    Generator     |      0.48736       |    0.51379     | 0.84615 | 0.96154 |      0.41775       |     0.43833      |
|  149  |  Discriminator   |      0.72626       |    0.48365     | 0.92308 | 0.76923 |      0.31990       |     0.34103      |
|  150  |  Discriminator   |      0.68681       |    0.52430     | 0.76923 | 0.80769 |      0.34190       |     0.35035      |
|  151  |  Discriminator   |      0.65747       |    0.59240     | 0.88462 | 0.84615 |      0.43855       |     0.40747      |
|  152  |  Discriminator   |      0.67474       |    0.56200     | 0.73077 | 0.84615 |      0.40635       |     0.39172      |
|  153  |  Discriminator   |      0.60818       |    0.61524     | 0.57692 | 0.92308 |      0.47247       |     0.46976      |
|  154  |  Discriminator   |      0.63258       |    0.60969     | 0.53846 | 0.84615 |      0.34602       |     0.34820      |
|  155  |  Discriminator   |      0.66167       |    0.61815     | 0.57692 | 0.92308 |      0.51741       |     0.47931      |
|  156  |  Discriminator   |      0.62425       |    0.62754     | 0.61538 | 0.76923 |      0.35147       |     0.35642      |
|  157  |  Discriminator   |      0.65186       |    0.64680     | 0.57692 | 0.69231 |      0.36029       |     0.36152      |
|  158  |  Discriminator   |      0.61094       |    0.66012     | 0.65385 | 0.88462 |      0.34590       |     0.36589      |
|  159  |  Discriminator   |      0.67363       |    0.69750     | 0.53846 | 0.73077 |      0.39667       |     0.39346      |
|  160  |  Discriminator   |      0.59553       |    0.68665     | 0.61538 | 0.80769 |      0.47133       |     0.44478      |
|  161  |  Discriminator   |      0.62724       |    0.66257     | 0.34615 | 0.84615 |      0.31542       |     0.36275      |
|  162  |  Discriminator   |      0.57342       |    0.70409     | 0.50000 | 0.84615 |      0.38035       |     0.36529      |
|  163  |  Discriminator   |      0.56941       |    0.70552     | 0.46154 | 0.76923 |      0.44970       |     0.42429      |
|  164  |  Discriminator   |      0.58448       |    0.73125     | 0.34615 | 0.80769 |      0.39542       |     0.41345      |
|  165  |  Discriminator   |      0.61233       |    0.73868     | 0.26923 | 0.84615 |      0.31877       |     0.33500      |
|  166  |  Discriminator   |      0.56142       |    0.73187     | 0.38462 | 0.88462 |      0.45005       |     0.46885      |
|  167  |  Discriminator   |      0.56357       |    0.72616     | 0.38462 | 0.96154 |      0.39093       |     0.38453      |
|  168  |  Discriminator   |      0.57179       |    0.71920     | 0.50000 | 0.80769 |      0.43782       |     0.43713      |
|  169  |  Discriminator   |      0.54604       |    0.76052     | 0.46154 | 0.84615 |      0.45570       |     0.41724      |
|  170  |  Discriminator   |      0.56262       |    0.75789     | 0.23077 | 0.88462 |      0.34386       |     0.33107      |
|  171  |  Discriminator   |      0.56506       |    0.72411     | 0.26923 | 0.73077 |      0.37929       |     0.40704      |
|  172  |  Discriminator   |      0.59376       |    0.78418     | 0.38462 | 0.73077 |      0.35061       |     0.36165      |
|  173  |  Discriminator   |      0.57031       |    0.74676     | 0.57692 | 0.80769 |      0.32879       |     0.34274      |
|  174  |  Discriminator   |      0.55506       |    0.80314     | 0.34615 | 0.84615 |      0.51755       |     0.51586      |
|  175  |  Discriminator   |      0.50849       |    0.77587     | 0.26923 | 0.88462 |      0.44486       |     0.44482      |
|  176  |  Discriminator   |      0.54311       |    0.80302     | 0.34615 | 0.92308 |      0.39732       |     0.37516      |
|  177  |  Discriminator   |      0.53668       |    0.82983     | 0.42308 | 0.92308 |      0.39628       |     0.40252      |
|  178  |  Discriminator   |      0.52695       |    0.82411     | 0.34615 | 0.80769 |      0.37401       |     0.35354      |
|  179  |  Discriminator   |      0.53506       |    0.81795     | 0.34615 | 0.88462 |      0.41637       |     0.42932      |
|  180  |  Discriminator   |      0.49905       |    0.80575     | 0.26923 | 0.92308 |      0.34325       |     0.36150      |
|  181  |  Discriminator   |      0.49649       |    0.83083     | 0.23077 | 0.96154 |      0.32375       |     0.34431      |
|  182  |  Discriminator   |      0.48244       |    0.84308     | 0.26923 | 0.84615 |      0.32114       |     0.34172      |
|  183  |  Discriminator   |      0.52022       |    0.83228     | 0.23077 | 0.73077 |      0.33074       |     0.35272      |
|  184  |  Discriminator   |      0.47888       |    0.86321     | 0.26923 | 0.80769 |      0.63769       |     0.62907      |
|  185  |  Discriminator   |      0.47002       |    0.85787     | 0.15385 | 0.96154 |      0.30751       |     0.31669      |
|  186  |    Generator     |      0.47002       |    0.75799     | 0.38462 | 0.73077 |      0.32753       |     0.34825      |
|  187  |    Generator     |      0.47002       |    0.73460     | 0.46154 | 0.84615 |      0.54424       |     0.51330      |
|  188  |    Generator     |      0.47002       |    0.64345     | 0.69231 | 0.92308 |      0.35896       |     0.38181      |
|  189  |    Generator     |      0.47002       |    0.53742     | 0.80769 | 0.88462 |      0.34201       |     0.34983      |
|  190  |  Discriminator   |      0.68350       |    0.59156     | 0.73077 | 0.96154 |      0.27459       |     0.32653      |
|  191  |  Discriminator   |      0.63836       |    0.56171     | 0.61538 | 0.73077 |      0.43626       |     0.40346      |
|  192  |  Discriminator   |      0.62379       |    0.60505     | 0.65385 | 0.92308 |      0.42743       |     0.43900      |
|  193  |  Discriminator   |      0.58511       |    0.62228     | 0.65385 | 0.80769 |      0.42657       |     0.42153      |
|  194  |  Discriminator   |      0.59715       |    0.62246     | 0.57692 | 0.88462 |      0.44308       |     0.40909      |
|  195  |  Discriminator   |      0.60175       |    0.72677     | 0.50000 | 0.73077 |      0.30857       |     0.33002      |
|  196  |  Discriminator   |      0.59600       |    0.70152     | 0.61538 | 0.92308 |      0.41585       |     0.39020      |
|  197  |  Discriminator   |      0.57589       |    0.74538     | 0.34615 | 0.73077 |      0.50990       |     0.49369      |
|  198  |  Discriminator   |      0.60081       |    0.70964     | 0.50000 | 0.84615 |      0.37124       |     0.38286      |
|  199  |  Discriminator   |      0.56623       |    0.71766     | 0.38462 | 0.84615 |      0.35224       |     0.36578      |
|  200  |  Discriminator   |      0.57421       |    0.69902     | 0.46154 | 0.84615 |      0.42527       |     0.40716      |
|  201  |  Discriminator   |      0.57492       |    0.75946     | 0.50000 | 0.80769 |      0.35152       |     0.37455      |
|  202  |  Discriminator   |      0.56718       |    0.77896     | 0.38462 | 0.84615 |      0.38864       |     0.40827      |
|  203  |  Discriminator   |      0.53367       |    0.83112     | 0.34615 | 0.80769 |      0.36361       |     0.37545      |
|  204  |  Discriminator   |      0.57061       |    0.83729     | 0.42308 | 0.76923 |      0.42738       |     0.42217      |
|  205  |  Discriminator   |      0.56478       |    0.84609     | 0.30769 | 0.65385 |      0.37361       |     0.35986      |
|  206  |  Discriminator   |      0.54757       |    0.77467     | 0.38462 | 0.88462 |      0.39949       |     0.43238      |
|  207  |  Discriminator   |      0.58814       |    0.79352     | 0.30769 | 0.88462 |      0.31734       |     0.32990      |
|  208  |  Discriminator   |      0.53221       |    0.83915     | 0.26923 | 0.92308 |      0.33378       |     0.33107      |
|  209  |  Discriminator   |      0.55408       |    0.81386     | 0.34615 | 0.73077 |      0.32063       |     0.33516      |
|  210  |  Discriminator   |      0.50118       |    0.86402     | 0.26923 | 0.76923 |      0.46559       |     0.43667      |
|  211  |  Discriminator   |      0.53336       |    0.87378     | 0.30769 | 0.84615 |      0.46059       |     0.45145      |
|  212  |  Discriminator   |      0.50854       |    0.85563     | 0.34615 | 0.88462 |      0.44427       |     0.44573      |
|  213  |  Discriminator   |      0.50808       |    0.89942     | 0.38462 | 0.84615 |      0.32227       |     0.33546      |
|  214  |  Discriminator   |      0.50190       |    0.85852     | 0.34615 | 0.76923 |      0.44133       |     0.42932      |
|  215  |  Discriminator   |      0.53397       |    0.86006     | 0.26923 | 0.80769 |      0.40123       |     0.39537      |
|  216  |  Discriminator   |      0.44804       |    0.93108     | 0.19231 | 0.96154 |      0.47575       |     0.47481      |
|  217  |    Generator     |      0.44804       |    0.79659     | 0.38462 | 0.88462 |      0.40571       |     0.39442      |
|  218  |    Generator     |      0.44804       |    0.71743     | 0.46154 | 0.92308 |      0.39360       |     0.41518      |
|  219  |    Generator     |      0.44804       |    0.63172     | 0.69231 | 0.92308 |      0.27846       |     0.32057      |
|  220  |    Generator     |      0.44804       |    0.51897     | 0.73077 | 1.00000 |      0.42697       |     0.47297      |
|  221  |    Generator     |      0.44804       |    0.46771     | 0.88462 | 0.80769 |      0.38359       |     0.38120      |
|  222  |  Discriminator   |      0.76203       |    0.49862     | 0.76923 | 0.76923 |      0.39302       |     0.42446      |
|  223  |  Discriminator   |      0.75762       |    0.54017     | 0.76923 | 0.69231 |      0.46027       |     0.44498      |
|  224  |  Discriminator   |      0.73914       |    0.56387     | 0.73077 | 0.84615 |      0.33042       |     0.33535      |
|  225  |  Discriminator   |      0.69295       |    0.62076     | 0.69231 | 0.80769 |      0.39428       |     0.37470      |
|  226  |  Discriminator   |      0.68193       |    0.59503     | 0.57692 | 0.76923 |      0.32374       |     0.33098      |
|  227  |  Discriminator   |      0.71377       |    0.63427     | 0.53846 | 0.76923 |      0.30938       |     0.32679      |
|  228  |  Discriminator   |      0.66098       |    0.67143     | 0.57692 | 0.76923 |      0.44623       |     0.44118      |
|  229  |  Discriminator   |      0.64369       |    0.67169     | 0.61538 | 0.65385 |      0.38161       |     0.37518      |
|  230  |  Discriminator   |      0.66089       |    0.70162     | 0.57692 | 0.76923 |      0.38772       |     0.39051      |
|  231  |  Discriminator   |      0.61691       |    0.73282     | 0.46154 | 0.84615 |      0.37166       |     0.38519      |
|  232  |  Discriminator   |      0.65248       |    0.70540     | 0.38462 | 0.84615 |      0.29497       |     0.32114      |
|  233  |  Discriminator   |      0.61526       |    0.75666     | 0.50000 | 0.65385 |      0.49143       |     0.48223      |
|  234  |  Discriminator   |      0.63249       |    0.72912     | 0.50000 | 0.76923 |      0.28694       |     0.31069      |
|  235  |  Discriminator   |      0.59876       |    0.78591     | 0.34615 | 0.84615 |      0.32251       |     0.33715      |
|  236  |  Discriminator   |      0.61943       |    0.73689     | 0.42308 | 0.80769 |      0.40796       |     0.44042      |
|  237  |  Discriminator   |      0.60492       |    0.78352     | 0.38462 | 0.76923 |      0.44152       |     0.40584      |
|  238  |  Discriminator   |      0.60010       |    0.75043     | 0.38462 | 0.84615 |      0.40753       |     0.41980      |
|  239  |  Discriminator   |      0.63778       |    0.75134     | 0.46154 | 0.76923 |      0.27426       |     0.30403      |
|  240  |  Discriminator   |      0.61042       |    0.79418     | 0.50000 | 0.80769 |      0.36524       |     0.38164      |
|  241  |  Discriminator   |      0.59265       |    0.82210     | 0.30769 | 0.96154 |      0.42076       |     0.41569      |
|  242  |  Discriminator   |      0.62517       |    0.77485     | 0.46154 | 0.69231 |      0.43270       |     0.41533      |
|  243  |  Discriminator   |      0.58661       |    0.76076     | 0.23077 | 0.80769 |      0.41674       |     0.40777      |
|  244  |  Discriminator   |      0.58034       |    0.84302     | 0.34615 | 0.69231 |      0.42472       |     0.41000      |
|  245  |  Discriminator   |      0.56675       |    0.83471     | 0.34615 | 0.80769 |      0.36587       |     0.36904      |
|  246  |  Discriminator   |      0.60596       |    0.81736     | 0.42308 | 0.69231 |      0.50389       |     0.49305      |
|  247  |  Discriminator   |      0.55665       |    0.84065     | 0.34615 | 0.84615 |      0.40018       |     0.39775      |
