Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
84,Discriminator,0.66667,0.90067,0.07692,0.15385,0.48124,0.46703
85,Discriminator,0.65569,0.87657,0.07692,0.26923,0.35056,0.34791
86,Discriminator,0.63737,0.89374,0.03846,0.19231,0.58276,0.58429
87,Discriminator,0.63353,0.92547,0.00000,0.26923,0.36570,0.39806
88,Discriminator,0.62426,0.95145,0.03846,0.23077,0.40483,0.42725
89,Discriminator,0.63007,0.92866,0.00000,0.23077,0.28532,0.31568
90,Discriminator,0.61999,0.94935,0.00000,0.19231,0.36802,0.36375
91,Discriminator,0.60949,0.95929,0.03846,0.38462,0.47640,0.45815
92,Discriminator,0.61377,0.97844,0.00000,0.34615,0.46762,0.51062
93,Discriminator,0.59931,0.98898,0.03846,0.38462,0.38358,0.37833
94,Discriminator,0.58316,1.01506,0.00000,0.65385,0.47191,0.45928
95,Discriminator,0.55774,1.04963,0.00000,0.61538,0.46141,0.47577
96,Discriminator,0.55500,1.03027,0.00000,0.73077,0.38720,0.37759
97,Discriminator,0.56176,1.10573,0.03846,0.69231,0.31043,0.29852
98,Discriminator,0.54649,1.09683,0.00000,0.69231,0.31525,0.36193
99,Discriminator,0.54180,1.09874,0.00000,0.76923,0.35681,0.36531
100,Discriminator,0.51428,1.15049,0.07692,0.76923,0.48052,0.46985
101,Discriminator,0.49604,1.21431,0.00000,0.88462,0.51229,0.51893
102,Generator,0.49604,0.92924,0.15385,0.84615,0.33401,0.35783
103,Generator,0.49604,0.70442,0.65385,0.80769,0.34790,0.38249
104,Generator,0.49604,0.58260,0.80769,0.80769,0.37271,0.39278
105,Discriminator,0.73280,0.59120,0.61538,0.57692,0.36382,0.41338
106,Discriminator,0.68842,0.62552,0.80769,0.65385,0.51806,0.51470
107,Discriminator,0.70124,0.68747,0.65385,0.57692,0.36553,0.37110
108,Discriminator,0.67030,0.71165,0.53846,0.61538,0.36332,0.36458
109,Discriminator,0.67848,0.75106,0.46154,0.69231,0.33511,0.37999
110,Discriminator,0.64517,0.78853,0.38462,0.46154,0.36565,0.41184
111,Discriminator,0.63188,0.81643,0.26923,0.50000,0.57571,0.54105
112,Discriminator,0.65056,0.82061,0.26923,0.65385,0.30281,0.33418
113,Discriminator,0.64317,0.82480,0.26923,0.57692,0.33458,0.38032
114,Discriminator,0.63068,0.87878,0.19231,0.65385,0.31819,0.34939
115,Discriminator,0.59847,0.90004,0.11538,0.57692,0.33485,0.37628
116,Discriminator,0.61104,0.90368,0.03846,0.46154,0.33463,0.35398
117,Discriminator,0.60113,0.95284,0.15385,0.61538,0.43934,0.46675
118,Discriminator,0.59776,0.92592,0.11538,0.46154,0.34396,0.38652
119,Discriminator,0.59752,0.93068,0.19231,0.65385,0.37552,0.39610
120,Discriminator,0.56540,0.99316,0.11538,0.57692,0.44273,0.48646
121,Discriminator,0.59920,0.96078,0.11538,0.57692,0.38625,0.39394
122,Discriminator,0.57066,0.95594,0.07692,0.50000,0.38680,0.40734
123,Discriminator,0.56585,0.98227,0.03846,0.53846,0.35285,0.37864
124,Discriminator,0.54192,0.95605,0.00000,0.53846,0.36633,0.36357
125,Discriminator,0.55043,1.01309,0.03846,0.65385,0.38973,0.41243
126,Discriminator,0.56337,1.01648,0.15385,0.61538,0.35666,0.38908
127,Discriminator,0.52933,1.02979,0.11538,0.76923,0.39857,0.44388
128,Discriminator,0.50676,1.08931,0.15385,0.73077,0.36364,0.39813
129,Discriminator,0.52478,1.07168,0.03846,0.80769,0.50606,0.51637
130,Generator,0.52478,0.89320,0.19231,0.73077,0.30479,0.31554
131,Generator,0.52478,0.72093,0.50000,0.80769,0.57353,0.53431
132,Generator,0.52478,0.61101,0.61538,0.53846,0.43362,0.44200
133,Generator,0.52478,0.54820,0.84615,0.73077,0.36037,0.34511
134,Discriminator,0.71025,0.63504,0.73077,0.73077,0.45858,0.51060
135,Discriminator,0.71074,0.62278,0.65385,0.46154,0.29671,0.32597
136,Discriminator,0.62934,0.69323,0.50000,0.57692,0.42018,0.41835
137,Discriminator,0.66467,0.76552,0.38462,0.61538,0.41369,0.41569
138,Discriminator,0.65412,0.79901,0.38462,0.61538,0.28780,0.33869
139,Discriminator,0.58005,0.80175,0.11538,0.61538,0.45788,0.48018
140,Discriminator,0.62647,0.89061,0.19231,0.53846,0.28399,0.31898
141,Discriminator,0.62308,0.87092,0.11538,0.50000,0.35108,0.35751
142,Discriminator,0.58221,0.97256,0.15385,0.53846,0.31113,0.35737
143,Discriminator,0.56283,0.91962,0.00000,0.46154,0.40926,0.42313
144,Discriminator,0.61281,1.00787,0.11538,0.38462,0.28189,0.31918
145,Discriminator,0.55979,0.93416,0.00000,0.57692,0.34718,0.37751
146,Discriminator,0.58676,0.95782,0.11538,0.57692,0.47080,0.45198
147,Discriminator,0.54980,1.02693,0.07692,0.53846,0.32030,0.33548
148,Discriminator,0.49677,1.05549,0.07692,0.53846,0.56084,0.55950
149,Discriminator,0.54294,1.05757,0.07692,0.42308,0.51771,0.51086
150,Discriminator,0.52186,1.12022,0.07692,0.57692,0.47028,0.44438
151,Discriminator,0.43751,1.06962,0.07692,0.65385,0.43846,0.48213
152,Discriminator,0.51312,1.11894,0.00000,0.50000,0.49016,0.48228
153,Discriminator,0.50103,1.07078,0.00000,0.53846,0.33126,0.34372
154,Discriminator,0.44853,1.14507,0.07692,0.73077,0.32901,0.35796
155,Discriminator,0.44890,1.22432,0.07692,0.76923,0.48056,0.46651
156,Discriminator,0.39175,1.18911,0.03846,0.80769,0.43071,0.49915
157,Generator,0.39175,0.98029,0.07692,0.65385,0.31628,0.35685
158,Generator,0.39175,0.87752,0.30769,0.61538,0.37877,0.41922
159,Generator,0.39175,0.68835,0.50000,0.69231,0.23822,0.28150
160,Generator,0.39175,0.55333,0.73077,0.76923,0.28966,0.29762
161,Generator,0.39175,0.47846,0.84615,0.73077,0.31519,0.32325
162,Discriminator,0.81201,0.52911,0.76923,0.65385,0.38569,0.37765
163,Discriminator,0.70935,0.60242,0.53846,0.65385,0.31520,0.33322
164,Discriminator,0.67885,0.75606,0.38462,0.61538,0.31118,0.32226
165,Discriminator,0.64863,0.84119,0.34615,0.46154,0.42381,0.40978
166,Discriminator,0.62819,0.81728,0.19231,0.53846,0.42294,0.43635
167,Discriminator,0.56964,0.98097,0.11538,0.57692,0.31397,0.36798
168,Discriminator,0.60755,0.96660,0.19231,0.57692,0.46302,0.46740
169,Discriminator,0.56508,0.98950,0.15385,0.46154,0.46188,0.46605
170,Discriminator,0.56782,0.94513,0.23077,0.46154,0.28606,0.32988
171,Discriminator,0.53923,1.02568,0.15385,0.46154,0.56077,0.54616
172,Discriminator,0.52799,1.06210,0.11538,0.61538,0.40777,0.40318
173,Discriminator,0.62208,1.12914,0.11538,0.46154,0.23113,0.26094
174,Discriminator,0.48207,1.06459,0.07692,0.69231,0.35650,0.36311
175,Discriminator,0.49576,1.05066,0.07692,0.46154,0.27894,0.34809
176,Discriminator,0.55668,1.12884,0.07692,0.53846,0.36555,0.37486
177,Discriminator,0.50152,1.12960,0.11538,0.57692,0.46887,0.44191
178,Discriminator,0.48838,1.05078,0.15385,0.69231,0.25011,0.32267
179,Discriminator,0.50711,1.15261,0.19231,0.69231,0.26801,0.30399
180,Discriminator,0.48588,1.11224,0.07692,0.69231,0.33840,0.32714
181,Discriminator,0.45679,1.12500,0.11538,0.65385,0.45870,0.47359
182,Discriminator,0.48528,1.21140,0.11538,0.73077,0.36860,0.38821
183,Discriminator,0.46704,1.33176,0.11538,0.73077,0.34524,0.33773
184,Discriminator,0.42647,1.22339,0.00000,0.69231,0.47661,0.45691
185,Discriminator,0.40338,1.19514,0.03846,0.80769,0.42010,0.41454
186,Generator,0.40338,1.09135,0.11538,0.76923,0.27007,0.29838
187,Generator,0.40338,0.75450,0.34615,0.76923,0.33103,0.36256
188,Generator,0.40338,0.64253,0.57692,0.88462,0.34870,0.35094
189,Generator,0.40338,0.51379,0.69231,0.80769,0.40939,0.42775
190,Generator,0.40338,0.48567,0.84615,0.61538,0.30011,0.32981
191,Discriminator,0.81552,0.55546,0.76923,0.57692,0.45535,0.45986
192,Discriminator,0.65451,0.61523,0.50000,0.65385,0.43255,0.40365
193,Discriminator,0.63897,0.79659,0.42308,0.50000,0.45805,0.45402
194,Discriminator,0.70883,0.81615,0.26923,0.42308,0.35611,0.36894
195,Discriminator,0.61700,0.91578,0.26923,0.65385,0.31030,0.32322
196,Discriminator,0.66011,0.95333,0.30769,0.61538,0.32143,0.32287
197,Discriminator,0.61634,1.01169,0.19231,0.53846,0.35784,0.34127
198,Discriminator,0.58778,1.02475,0.19231,0.57692,0.32322,0.33198
199,Discriminator,0.57892,1.04825,0.19231,0.50000,0.31430,0.31319
200,Discriminator,0.63132,1.08077,0.19231,0.50000,0.29553,0.30539
201,Discriminator,0.58794,1.07587,0.11538,0.57692,0.40897,0.40077
202,Discriminator,0.55619,1.13985,0.15385,0.65385,0.39486,0.38360
203,Discriminator,0.54427,1.06503,0.19231,0.57692,0.34797,0.34288
204,Discriminator,0.48743,1.26200,0.07692,0.65385,0.37046,0.36176
205,Discriminator,0.50881,1.20951,0.19231,0.65385,0.32220,0.33959
206,Discriminator,0.50507,1.23242,0.07692,0.69231,0.26749,0.28551
207,Discriminator,0.44990,1.18057,0.15385,0.76923,0.41850,0.40518
208,Discriminator,0.43416,1.28654,0.15385,0.69231,0.37351,0.39186
209,Discriminator,0.46357,1.23699,0.07692,0.76923,0.37462,0.37362
210,Discriminator,0.45316,1.31511,0.03846,0.73077,0.33511,0.34286
211,Discriminator,0.45885,1.29980,0.03846,0.73077,0.35488,0.36234
212,Discriminator,0.38857,1.36937,0.07692,0.80769,0.32455,0.33307
213,Generator,0.38857,1.09280,0.11538,0.76923,0.45572,0.44443
214,Generator,0.38857,0.85994,0.34615,0.76923,0.37424,0.37546
215,Generator,0.38857,0.77128,0.53846,0.92308,0.40331,0.39683
216,Generator,0.38857,0.64678,0.69231,0.76923,0.32419,0.31833
217,Generator,0.38857,0.54207,0.73077,0.84615,0.50850,0.57436
218,Generator,0.38857,0.50277,0.73077,0.61538,0.47438,0.44267
219,Generator,0.38857,0.45430,0.92308,0.73077,0.33755,0.34448
220,Discriminator,0.71830,0.53474,0.76923,0.84615,0.33742,0.33247
221,Discriminator,0.76409,0.64455,0.65385,0.80769,0.34916,0.34816
222,Discriminator,0.68161,0.66982,0.57692,0.65385,0.29441,0.31076
223,Discriminator,0.70719,0.68421,0.53846,0.57692,0.28295,0.29073
224,Discriminator,0.64358,0.84506,0.50000,0.65385,0.37021,0.37147
225,Discriminator,0.60542,0.86081,0.34615,0.61538,0.49631,0.48285
226,Discriminator,0.54866,0.89706,0.26923,0.50000,0.49927,0.52041
227,Discriminator,0.58740,0.96195,0.26923,0.65385,0.48128,0.47579
228,Discriminator,0.58204,1.00693,0.19231,0.65385,0.40157,0.44670
229,Discriminator,0.59485,0.98129,0.15385,0.50000,0.36359,0.34536
230,Discriminator,0.56331,1.02339,0.19231,0.73077,0.38139,0.40681
231,Discriminator,0.56004,1.00958,0.15385,0.57692,0.34401,0.35114
232,Discriminator,0.50150,1.09532,0.07692,0.53846,0.37446,0.35354
233,Discriminator,0.53366,1.09717,0.07692,0.53846,0.44442,0.41871
234,Discriminator,0.55026,1.03675,0.11538,0.50000,0.40939,0.45558
235,Discriminator,0.47063,1.09410,0.11538,0.65385,0.56448,0.59974
236,Discriminator,0.47693,1.04780,0.19231,0.65385,0.35666,0.38335
237,Discriminator,0.53601,1.10737,0.11538,0.50000,0.38130,0.35870
238,Discriminator,0.52702,1.14395,0.15385,0.69231,0.33643,0.33502
239,Discriminator,0.51380,1.12895,0.15385,0.65385,0.37579,0.37262
240,Discriminator,0.50855,1.14346,0.34615,0.65385,0.34307,0.33308
241,Discriminator,0.48839,1.21231,0.00000,0.61538,0.40025,0.39670
242,Discriminator,0.44713,1.09759,0.03846,0.50000,0.43966,0.42751
243,Discriminator,0.39890,1.25135,0.11538,0.84615,0.47798,0.46421
244,Generator,0.39890,1.03738,0.26923,0.73077,0.37427,0.37460
245,Generator,0.39890,0.91783,0.46154,0.65385,0.31611,0.30559
246,Generator,0.39890,0.72386,0.46154,0.69231,0.32808,0.33375
247,Generator,0.39890,0.63788,0.84615,0.76923,0.36101,0.35233
248,Discriminator,0.68888,0.70773,0.53846,0.80769,0.34459,0.33715
249,Discriminator,0.61786,0.75741,0.53846,0.69231,0.38906,0.38042
250,Discriminator,0.60787,0.92186,0.38462,0.57692,0.41041,0.41918
251,Discriminator,0.60181,0.86356,0.34615,0.57692,0.27418,0.33692
252,Discriminator,0.63174,0.93691,0.23077,0.50000,0.41382,0.41804
253,Discriminator,0.57823,1.03237,0.26923,0.61538,0.35271,0.34160
254,Discriminator,0.56318,1.06245,0.26923,0.65385,0.35931,0.38497
255,Discriminator,0.53784,1.05397,0.30769,0.46154,0.34432,0.36355
256,Discriminator,0.56911,1.07644,0.19231,0.50000,0.63330,0.64117
257,Discriminator,0.52212,1.00090,0.19231,0.53846,0.51720,0.48845
258,Discriminator,0.54437,1.09610,0.07692,0.42308,0.32496,0.32065
259,Discriminator,0.55888,1.04930,0.19231,0.38462,0.34427,0.34483
260,Discriminator,0.47663,1.04918,0.19231,0.57692,0.45382,0.44288
261,Discriminator,0.55102,1.13561,0.07692,0.61538,0.41117,0.40962
262,Discriminator,0.49333,1.10607,0.19231,0.53846,0.42019,0.41776
263,Discriminator,0.53751,1.15455,0.11538,0.61538,0.40325,0.39156
264,Discriminator,0.48540,1.14699,0.07692,0.53846,0.35350,0.39823
265,Discriminator,0.49785,1.27465,0.11538,0.50000,0.36509,0.36116
266,Discriminator,0.50182,1.25031,0.15385,0.69231,0.49280,0.47958
267,Discriminator,0.46520,1.14566,0.26923,0.76923,0.44714,0.49341
268,Discriminator,0.47664,1.17095,0.11538,0.57692,0.42460,0.40235
269,Discriminator,0.47097,1.23131,0.11538,0.80769,0.35717,0.37871
270,Generator,0.47097,1.15682,0.19231,0.61538,0.39319,0.38033
271,Generator,0.47097,0.90456,0.50000,0.84615,0.60979,0.54200
272,Generator,0.47097,0.72160,0.50000,0.80769,0.30139,0.32292
273,Generator,0.47097,0.64205,0.61538,0.80769,0.41251,0.42709
274,Generator,0.47097,0.56758,0.69231,0.61538,0.52859,0.54900
275,Generator,0.47097,0.57262,0.80769,0.80769,0.45882,0.46840
276,Discriminator,0.68783,0.59615,0.73077,0.65385,0.36233,0.38503
277,Discriminator,0.70626,0.58520,0.69231,0.69231,0.30151,0.31879
278,Discriminator,0.67579,0.67372,0.69231,0.65385,0.39872,0.40216
279,Discriminator,0.69533,0.85729,0.30769,0.73077,0.33217,0.33474
280,Discriminator,0.65379,0.82813,0.38462,0.53846,0.31026,0.33948
281,Discriminator,0.65609,0.86965,0.38462,0.38462,0.25731,0.29918
282,Discriminator,0.61789,0.88641,0.19231,0.76923,0.35291,0.41994
283,Discriminator,0.60800,0.88001,0.23077,0.57692,0.50756,0.50789
284,Discriminator,0.61364,1.01388,0.34615,0.69231,0.29355,0.31037
285,Discriminator,0.55682,0.96711,0.23077,0.73077,0.40407,0.40329
286,Discriminator,0.55369,1.00844,0.19231,0.57692,0.37462,0.36949
287,Discriminator,0.56732,1.09426,0.19231,0.65385,0.30598,0.30328
288,Discriminator,0.52034,0.97565,0.26923,0.65385,0.27904,0.33875
289,Discriminator,0.47727,1.06804,0.26923,0.69231,0.55314,0.52048
290,Discriminator,0.48310,1.13353,0.19231,0.84615,0.32269,0.35500
291,Generator,0.48310,0.98446,0.30769,0.76923,0.42610,0.40334
292,Generator,0.48310,0.96122,0.46154,0.80769,0.40843,0.43558
293,Generator,0.48310,0.73766,0.46154,0.88462,0.35976,0.34919
294,Generator,0.48310,0.73833,0.53846,0.69231,0.40548,0.41179
295,Generator,0.48310,0.69784,0.53846,0.61538,0.42802,0.39540
296,Generator,0.48310,0.63681,0.57692,0.65385,0.32856,0.33781
297,Generator,0.48310,0.58917,0.57692,0.53846,0.46103,0.45760
298,Generator,0.48310,0.58451,0.69231,0.53846,0.46732,0.45135
299,Generator,0.48310,0.56341,0.61538,0.73077,0.32448,0.33706
300,Generator,0.48310,0.56662,0.73077,0.73077,0.48612,0.45823
301,Generator,0.48310,0.55557,0.73077,0.69231,0.33307,0.34240
302,Generator,0.48310,0.55042,0.88462,0.80769,0.36782,0.37419
303,Discriminator,0.79799,0.55475,0.84615,0.73077,0.35275,0.41872
304,Discriminator,0.72729,0.55991,0.84615,0.80769,0.36573,0.38501
305,Discriminator,0.68029,0.63258,0.61538,0.65385,0.35839,0.37830
306,Discriminator,0.71834,0.66109,0.69231,0.42308,0.34379,0.36175
307,Discriminator,0.68345,0.66508,0.42308,0.69231,0.27530,0.32847
308,Discriminator,0.63388,0.66625,0.53846,0.65385,0.32668,0.34436
309,Discriminator,0.63903,0.77222,0.53846,0.69231,0.40871,0.42453
310,Discriminator,0.57073,0.83639,0.46154,0.65385,0.37458,0.38508
311,Discriminator,0.56504,0.81827,0.26923,0.65385,0.44557,0.46010
312,Discriminator,0.59597,0.87642,0.26923,0.42308,0.38258,0.39219
313,Discriminator,0.51583,0.95196,0.38462,0.80769,0.52577,0.55754
314,Discriminator,0.54410,0.98663,0.34615,0.76923,0.41891,0.42263
315,Discriminator,0.55831,0.98434,0.19231,0.38462,0.33578,0.36099
316,Discriminator,0.52279,1.00646,0.19231,0.50000,0.37279,0.37857
317,Discriminator,0.50277,1.00552,0.23077,0.61538,0.34280,0.37864
318,Discriminator,0.54401,1.17540,0.07692,0.46154,0.31927,0.35930
319,Discriminator,0.48451,1.14770,0.15385,0.80769,0.47702,0.52346
320,Generator,0.48451,1.07348,0.26923,0.69231,0.42404,0.40349
321,Generator,0.48451,1.03451,0.19231,0.50000,0.37852,0.37637
322,Generator,0.48451,0.88491,0.30769,0.73077,0.38338,0.40171
323,Generator,0.48451,0.84936,0.42308,0.57692,0.48799,0.51084
324,Generator,0.48451,0.82806,0.34615,0.73077,0.25289,0.29286
325,Generator,0.48451,0.78318,0.57692,0.38462,0.30845,0.30915
326,Generator,0.48451,0.69936,0.42308,0.65385,0.36961,0.36385
327,Generator,0.48451,0.64480,0.69231,0.53846,0.30104,0.30197
328,Generator,0.48451,0.64322,0.69231,0.65385,0.41063,0.47419
329,Generator,0.48451,0.62837,0.65385,0.65385,0.29438,0.32534
330,Generator,0.48451,0.61773,0.65385,0.73077,0.40784,0.41734
331,Generator,0.48451,0.57590,0.80769,0.50000,0.34549,0.34768
332,Discriminator,0.73882,0.54622,0.61538,0.65385,0.32340,0.32583
333,Discriminator,0.69385,0.66203,0.53846,0.61538,0.50191,0.47058
334,Discriminator,0.65641,0.63073,0.42308,0.50000,0.50595,0.50117
335,Discriminator,0.70199,0.66042,0.38462,0.73077,0.35952,0.36927
336,Discriminator,0.67119,0.69539,0.50000,0.57692,0.40215,0.41642
337,Discriminator,0.66128,0.67646,0.46154,0.65385,0.58462,0.62398
338,Discriminator,0.62525,0.76641,0.42308,0.76923,0.42041,0.42662
339,Discriminator,0.61776,0.83356,0.57692,0.53846,0.38426,0.39625
340,Discriminator,0.60526,0.86733,0.34615,0.53846,0.38408,0.37937
341,Discriminator,0.61921,0.88525,0.34615,0.57692,0.28620,0.31046
342,Discriminator,0.63264,0.89889,0.42308,0.61538,0.34751,0.35798
343,Discriminator,0.59277,0.97480,0.23077,0.50000,0.39502,0.40905
344,Discriminator,0.61026,0.89276,0.30769,0.38462,0.41751,0.42227
345,Discriminator,0.61028,1.03861,0.38462,0.69231,0.29742,0.31993
346,Discriminator,0.64463,0.99072,0.19231,0.50000,0.28049,0.29198
347,Discriminator,0.59542,0.98411,0.19231,0.61538,0.36188,0.37081
348,Discriminator,0.56621,0.99632,0.23077,0.73077,0.32242,0.34341
349,Discriminator,0.54337,0.97258,0.15385,0.53846,0.32833,0.34792
350,Discriminator,0.57764,1.07314,0.11538,0.65385,0.34329,0.33730
351,Discriminator,0.55683,1.18896,0.23077,0.46154,0.28250,0.30985
352,Discriminator,0.55098,1.15794,0.11538,0.57692,0.40558,0.41217
