Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
85,Discriminator,0.66664,0.73046,0.15385,0.69231,0.37468,0.37285
86,Generator,0.66664,0.72524,0.38462,0.73077,0.32278,0.34530
87,Generator,0.66664,0.71630,0.19231,0.73077,0.34518,0.35239
88,Discriminator,0.67368,0.71440,0.23077,0.73077,0.40395,0.41290
89,Discriminator,0.67152,0.72906,0.15385,0.88462,0.40599,0.42767
90,Discriminator,0.66142,0.72875,0.26923,0.73077,0.46928,0.45814
91,Discriminator,0.66383,0.72736,0.23077,0.80769,0.34133,0.34711
92,Discriminator,0.66288,0.73685,0.26923,0.76923,0.35795,0.34461
93,Generator,0.66288,0.74025,0.30769,0.80769,0.34605,0.36449
94,Generator,0.66288,0.71913,0.30769,0.57692,0.29275,0.33410
95,Discriminator,0.66383,0.71673,0.30769,0.53846,0.43089,0.42516
96,Discriminator,0.66029,0.72435,0.30769,0.73077,0.37312,0.38164
97,Discriminator,0.66711,0.72531,0.26923,0.65385,0.31447,0.33324
98,Discriminator,0.65961,0.73346,0.15385,0.80769,0.34290,0.36331
99,Discriminator,0.66306,0.73691,0.19231,0.69231,0.31477,0.34150
100,Generator,0.66306,0.72558,0.30769,0.76923,0.29863,0.33743
101,Generator,0.66306,0.71239,0.46154,0.69231,0.46709,0.42305
102,Discriminator,0.65944,0.72585,0.34615,0.80769,0.33914,0.35032
103,Discriminator,0.66533,0.72448,0.23077,0.84615,0.43064,0.42123
104,Discriminator,0.66715,0.73236,0.23077,0.80769,0.29461,0.29362
105,Discriminator,0.66211,0.74179,0.30769,0.76923,0.26220,0.29271
106,Discriminator,0.65350,0.73715,0.23077,0.65385,0.46476,0.42102
107,Generator,0.65350,0.73036,0.38462,0.96154,0.38500,0.37348
108,Generator,0.65350,0.71131,0.38462,0.76923,0.32623,0.34319
109,Discriminator,0.66010,0.71994,0.26923,0.76923,0.45159,0.41455
110,Discriminator,0.66984,0.72695,0.30769,0.65385,0.24753,0.29072
111,Discriminator,0.65622,0.73580,0.34615,0.65385,0.40960,0.40815
112,Discriminator,0.65829,0.73243,0.19231,0.76923,0.36375,0.35352
113,Discriminator,0.65785,0.74373,0.23077,0.69231,0.41885,0.39382
114,Generator,0.65785,0.72184,0.26923,0.57692,0.31188,0.33290
115,Generator,0.65785,0.72030,0.34615,0.65385,0.35634,0.35659
116,Discriminator,0.67341,0.71707,0.46154,0.53846,0.38493,0.36563
117,Discriminator,0.66407,0.73029,0.19231,0.57692,0.47367,0.44542
118,Discriminator,0.65428,0.72483,0.26923,0.65385,0.45556,0.44787
119,Discriminator,0.66013,0.73005,0.19231,0.57692,0.37482,0.34757
120,Discriminator,0.67340,0.74145,0.19231,0.46154,0.23067,0.27644
121,Generator,0.67340,0.73488,0.23077,0.50000,0.41248,0.41774
122,Generator,0.67340,0.71916,0.50000,0.65385,0.62621,0.59518
123,Discriminator,0.66884,0.72222,0.19231,0.53846,0.31641,0.33847
124,Discriminator,0.67368,0.73907,0.26923,0.57692,0.31692,0.31668
125,Discriminator,0.65263,0.72610,0.23077,0.65385,0.49116,0.47786
126,Discriminator,0.65488,0.74975,0.23077,0.53846,0.49516,0.45974
127,Discriminator,0.65718,0.76523,0.07692,0.53846,0.41068,0.38567
128,Generator,0.65718,0.75039,0.19231,0.50000,0.30328,0.30785
129,Generator,0.65718,0.72507,0.15385,0.65385,0.42721,0.41209
130,Discriminator,0.65606,0.74173,0.19231,0.53846,0.39699,0.39788
131,Discriminator,0.65178,0.77631,0.11538,0.50000,0.50725,0.50451
132,Discriminator,0.62201,0.76249,0.03846,0.53846,0.68809,0.69087
133,Discriminator,0.64419,0.77672,0.03846,0.30769,0.46558,0.44511
134,Discriminator,0.65751,0.78981,0.19231,0.42308,0.46138,0.48882
135,Generator,0.65751,0.77215,0.07692,0.57692,0.55219,0.53541
136,Generator,0.65751,0.75953,0.11538,0.46154,0.57211,0.57068
137,Discriminator,0.64881,0.77312,0.15385,0.30769,0.44380,0.44216
138,Discriminator,0.65899,0.76847,0.11538,0.38462,0.30337,0.32013
139,Discriminator,0.65367,0.78652,0.11538,0.61538,0.43807,0.43039
140,Discriminator,0.65012,0.80358,0.00000,0.42308,0.34552,0.34978
141,Discriminator,0.65121,0.81615,0.03846,0.30769,0.37832,0.36101
142,Generator,0.65121,0.79846,0.03846,0.53846,0.30397,0.33316
143,Generator,0.65121,0.77158,0.11538,0.46154,0.44383,0.40560
144,Discriminator,0.63008,0.79438,0.15385,0.50000,0.51276,0.52381
145,Discriminator,0.62836,0.79715,0.15385,0.46154,0.50286,0.50869
146,Discriminator,0.62822,0.80659,0.15385,0.50000,0.47851,0.46975
147,Discriminator,0.61468,0.81784,0.03846,0.46154,0.43805,0.44289
148,Discriminator,0.64087,0.81589,0.03846,0.50000,0.29975,0.31726
149,Generator,0.64087,0.79207,0.15385,0.61538,0.60839,0.66570
150,Generator,0.64087,0.80344,0.11538,0.30769,0.30847,0.30511
151,Discriminator,0.64672,0.79048,0.19231,0.50000,0.45670,0.45014
152,Discriminator,0.63150,0.80657,0.07692,0.50000,0.47118,0.46547
153,Discriminator,0.64542,0.83289,0.11538,0.30769,0.35376,0.36908
154,Discriminator,0.63858,0.80922,0.15385,0.34615,0.45551,0.47549
155,Discriminator,0.63998,0.81842,0.15385,0.42308,0.30974,0.32455
156,Generator,0.63998,0.81246,0.15385,0.42308,0.49275,0.54741
157,Generator,0.63998,0.77745,0.23077,0.46154,0.43883,0.44379
158,Discriminator,0.64685,0.81397,0.07692,0.26923,0.43671,0.42105
159,Discriminator,0.65287,0.80521,0.11538,0.42308,0.39934,0.38500
160,Discriminator,0.62999,0.81085,0.07692,0.57692,0.38611,0.38096
161,Discriminator,0.62522,0.80447,0.07692,0.69231,0.43319,0.41486
162,Discriminator,0.58999,0.81678,0.15385,0.61538,0.66907,0.66066
163,Generator,0.58999,0.81611,0.15385,0.46154,0.33693,0.34930
164,Generator,0.58999,0.78721,0.15385,0.46154,0.37115,0.37251
165,Discriminator,0.63869,0.79854,0.23077,0.46154,0.41282,0.41821
166,Discriminator,0.65236,0.79729,0.19231,0.42308,0.31233,0.33498
167,Discriminator,0.64312,0.83090,0.15385,0.34615,0.31162,0.33647
168,Discriminator,0.62568,0.81734,0.15385,0.34615,0.42329,0.41405
169,Discriminator,0.63633,0.78721,0.11538,0.53846,0.29047,0.31818
170,Generator,0.63633,0.80296,0.07692,0.38462,0.31808,0.33369
171,Generator,0.63633,0.77427,0.03846,0.46154,0.37254,0.37260
172,Discriminator,0.65585,0.78398,0.19231,0.38462,0.41778,0.44179
173,Discriminator,0.63811,0.79808,0.19231,0.50000,0.28066,0.31112
174,Discriminator,0.61761,0.80350,0.07692,0.34615,0.42005,0.39784
175,Discriminator,0.61813,0.79769,0.11538,0.34615,0.38896,0.37982
176,Discriminator,0.62870,0.79811,0.15385,0.42308,0.31858,0.33080
177,Generator,0.62870,0.81098,0.23077,0.46154,0.49082,0.49017
178,Generator,0.62870,0.75855,0.15385,0.46154,0.33331,0.32117
179,Discriminator,0.68248,0.81509,0.34615,0.46154,0.27894,0.31504
180,Discriminator,0.63549,0.75928,0.26923,0.38462,0.34441,0.35277
181,Discriminator,0.62034,0.77350,0.15385,0.42308,0.35350,0.37016
182,Discriminator,0.61219,0.81088,0.11538,0.38462,0.45086,0.47632
183,Discriminator,0.63716,0.79221,0.23077,0.53846,0.28289,0.30884
184,Generator,0.63716,0.78082,0.19231,0.57692,0.42537,0.42413
185,Generator,0.63716,0.78631,0.30769,0.46154,0.27573,0.31812
186,Discriminator,0.63849,0.80377,0.23077,0.69231,0.37996,0.38678
187,Discriminator,0.64149,0.77255,0.23077,0.50000,0.33232,0.32585
188,Discriminator,0.64528,0.78934,0.19231,0.42308,0.28780,0.30768
189,Discriminator,0.61935,0.78848,0.15385,0.53846,0.50600,0.48282
190,Discriminator,0.60967,0.81960,0.15385,0.61538,0.34594,0.35252
191,Generator,0.60967,0.78903,0.30769,0.57692,0.34417,0.35872
192,Generator,0.60967,0.76014,0.34615,0.61538,0.29597,0.31007
193,Discriminator,0.66607,0.78562,0.38462,0.34615,0.30047,0.32172
194,Discriminator,0.62204,0.76967,0.26923,0.65385,0.46170,0.44461
195,Discriminator,0.62055,0.79642,0.23077,0.73077,0.37063,0.37066
196,Discriminator,0.61850,0.80378,0.15385,0.42308,0.34262,0.32634
197,Discriminator,0.61117,0.79662,0.15385,0.69231,0.37122,0.36422
198,Generator,0.61117,0.78091,0.42308,0.57692,0.30870,0.32122
199,Generator,0.61117,0.75864,0.26923,0.46154,0.37033,0.36971
200,Discriminator,0.62361,0.75760,0.19231,0.53846,0.37118,0.37374
201,Discriminator,0.66702,0.78602,0.34615,0.65385,0.30110,0.31712
202,Discriminator,0.65066,0.77938,0.30769,0.50000,0.27721,0.29543
203,Discriminator,0.60869,0.78839,0.34615,0.57692,0.44800,0.43412
204,Discriminator,0.58591,0.79790,0.23077,0.65385,0.55959,0.57058
205,Generator,0.58591,0.77024,0.26923,0.76923,0.38676,0.39879
206,Generator,0.58591,0.75113,0.30769,0.46154,0.30728,0.31381
207,Discriminator,0.63824,0.76558,0.23077,0.69231,0.41336,0.42800
208,Discriminator,0.58263,0.77587,0.26923,0.69231,0.56516,0.54666
209,Discriminator,0.62470,0.79150,0.23077,0.57692,0.34426,0.34088
210,Discriminator,0.56976,0.77079,0.30769,0.73077,0.41679,0.43946
211,Discriminator,0.62913,0.78417,0.19231,0.46154,0.45639,0.45042
212,Generator,0.62913,0.77166,0.26923,0.61538,0.37938,0.40139
213,Generator,0.62913,0.74049,0.50000,0.61538,0.47990,0.44578
214,Discriminator,0.64253,0.72385,0.30769,0.80769,0.35727,0.35754
215,Discriminator,0.63615,0.73894,0.26923,0.61538,0.30215,0.31768
216,Discriminator,0.61918,0.79111,0.26923,0.53846,0.31984,0.32306
217,Discriminator,0.59926,0.81101,0.23077,0.53846,0.38258,0.39728
218,Discriminator,0.62543,0.80260,0.23077,0.69231,0.44053,0.44135
219,Generator,0.62543,0.77465,0.26923,0.46154,0.28385,0.29224
220,Generator,0.62543,0.72207,0.46154,0.65385,0.33015,0.31511
221,Discriminator,0.64085,0.76006,0.30769,0.57692,0.36324,0.35841
222,Discriminator,0.62303,0.78952,0.34615,0.53846,0.40944,0.40283
223,Discriminator,0.63140,0.76136,0.42308,0.53846,0.35468,0.35511
224,Discriminator,0.62154,0.78550,0.34615,0.57692,0.32008,0.31530
225,Discriminator,0.61779,0.80661,0.23077,0.80769,0.37642,0.38021
226,Generator,0.61779,0.77448,0.34615,0.65385,0.57000,0.51517
227,Generator,0.61779,0.75497,0.34615,0.50000,0.27265,0.28701
228,Discriminator,0.64993,0.72868,0.34615,0.38462,0.36560,0.35777
