+-------+------------------+--------------------+----------------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss |   FPR   |  Recall | Median Wasserstein | Mean Wasserstein |
|   55  |  Discriminator   |      0.70952       |    0.51145     | 1.00000 | 1.00000 |      0.45439       |     0.46254      |
|   56  |  Discriminator   |      0.70920       |    0.51127     | 1.00000 | 1.00000 |      0.45073       |     0.46232      |
|   57  |  Discriminator   |      0.70939       |    0.51147     | 1.00000 | 1.00000 |      0.44890       |     0.46259      |
|   58  |  Discriminator   |      0.70905       |    0.51152     | 1.00000 | 1.00000 |      0.44882       |     0.46072      |
|   59  |  Discriminator   |      0.70965       |    0.51158     | 1.00000 | 1.00000 |      0.45164       |     0.46133      |
|   60  |  Discriminator   |      0.70895       |    0.51142     | 1.00000 | 1.00000 |      0.44974       |     0.46119      |
|   61  |  Discriminator   |      0.70937       |    0.51194     | 1.00000 | 1.00000 |      0.45248       |     0.46245      |
|   62  |  Discriminator   |      0.70874       |    0.51209     | 1.00000 | 1.00000 |      0.45080       |     0.46146      |
|   63  |  Discriminator   |      0.70908       |    0.51213     | 1.00000 | 1.00000 |      0.45153       |     0.46168      |
|   64  |  Discriminator   |      0.70861       |    0.51253     | 1.00000 | 1.00000 |      0.45119       |     0.46113      |
|   65  |  Discriminator   |      0.70864       |    0.51230     | 1.00000 | 1.00000 |      0.45288       |     0.46230      |
|   66  |  Discriminator   |      0.70858       |    0.51271     | 1.00000 | 1.00000 |      0.44693       |     0.46063      |
|   67  |  Discriminator   |      0.70865       |    0.51246     | 1.00000 | 1.00000 |      0.45277       |     0.46234      |
|   68  |  Discriminator   |      0.70837       |    0.51247     | 1.00000 | 1.00000 |      0.45374       |     0.46113      |
|   69  |  Discriminator   |      0.70820       |    0.51270     | 1.00000 | 1.00000 |      0.45105       |     0.46123      |
|   70  |  Discriminator   |      0.70803       |    0.51282     | 1.00000 | 1.00000 |      0.45213       |     0.46214      |
|   71  |  Discriminator   |      0.70825       |    0.51302     | 1.00000 | 1.00000 |      0.45111       |     0.46152      |
|   72  |  Discriminator   |      0.70848       |    0.51325     | 1.00000 | 1.00000 |      0.45304       |     0.46192      |
|   73  |  Discriminator   |      0.70818       |    0.51325     | 1.00000 | 1.00000 |      0.45223       |     0.46241      |
|   74  |  Discriminator   |      0.70781       |    0.51320     | 1.00000 | 1.00000 |      0.44967       |     0.46181      |
|   75  |  Discriminator   |      0.70789       |    0.51369     | 1.00000 | 1.00000 |      0.45015       |     0.46105      |
|   76  |  Discriminator   |      0.70767       |    0.51379     | 1.00000 | 1.00000 |      0.45372       |     0.46317      |
|   77  |  Discriminator   |      0.70786       |    0.51409     | 1.00000 | 1.00000 |      0.44793       |     0.46070      |
|   78  |  Discriminator   |      0.70759       |    0.51386     | 1.00000 | 1.00000 |      0.45360       |     0.46191      |
|   79  |  Discriminator   |      0.70766       |    0.51407     | 1.00000 | 0.99911 |      0.45079       |     0.46247      |
|   80  |  Discriminator   |      0.70718       |    0.51403     | 1.00000 | 1.00000 |      0.45058       |     0.46103      |
|   81  |  Discriminator   |      0.70721       |    0.51417     | 1.00000 | 1.00000 |      0.45330       |     0.46208      |
|   82  |  Discriminator   |      0.70733       |    0.51446     | 1.00000 | 1.00000 |      0.45245       |     0.46140      |
|   83  |  Discriminator   |      0.70736       |    0.51449     | 1.00000 | 1.00000 |      0.44863       |     0.46085      |
|   84  |  Discriminator   |      0.70675       |    0.51477     | 1.00000 | 1.00000 |      0.45355       |     0.46284      |
|   85  |  Discriminator   |      0.70680       |    0.51468     | 1.00000 | 1.00000 |      0.45034       |     0.46252      |
|   86  |  Discriminator   |      0.70701       |    0.51496     | 1.00000 | 1.00000 |      0.44785       |     0.46163      |
|   87  |  Discriminator   |      0.70670       |    0.51516     | 1.00000 | 1.00000 |      0.44494       |     0.45992      |
|   88  |  Discriminator   |      0.70690       |    0.51544     | 1.00000 | 1.00000 |      0.45140       |     0.46266      |
|   89  |  Discriminator   |      0.70655       |    0.51550     | 1.00000 | 1.00000 |      0.44987       |     0.46211      |
|   90  |  Discriminator   |      0.70644       |    0.51552     | 1.00000 | 1.00000 |      0.45215       |     0.46111      |
|   91  |  Discriminator   |      0.70649       |    0.51557     | 1.00000 | 1.00000 |      0.45101       |     0.46046      |
|   92  |  Discriminator   |      0.70604       |    0.51573     | 1.00000 | 1.00000 |      0.44786       |     0.46218      |
|   93  |  Discriminator   |      0.70615       |    0.51572     | 1.00000 | 1.00000 |      0.45210       |     0.46247      |
|   94  |  Discriminator   |      0.70637       |    0.51606     | 1.00000 | 1.00000 |      0.45213       |     0.46240      |
|   95  |  Discriminator   |      0.70602       |    0.51633     | 1.00000 | 1.00000 |      0.45133       |     0.46059      |
|   96  |  Discriminator   |      0.70592       |    0.51647     | 1.00000 | 1.00000 |      0.45098       |     0.46054      |
|   97  |  Discriminator   |      0.70598       |    0.51624     | 1.00000 | 1.00000 |      0.45016       |     0.46196      |
|   98  |  Discriminator   |      0.70604       |    0.51636     | 1.00000 | 1.00000 |      0.44820       |     0.46150      |
|   99  |  Discriminator   |      0.70571       |    0.51635     | 1.00000 | 1.00000 |      0.44981       |     0.46129      |
|  100  |  Discriminator   |      0.70570       |    0.51666     | 1.00000 | 1.00000 |      0.44882       |     0.46080      |
|  101  |  Discriminator   |      0.70548       |    0.51687     | 1.00000 | 1.00000 |      0.45094       |     0.46203      |
|  102  |  Discriminator   |      0.70518       |    0.51695     | 1.00000 | 1.00000 |      0.45426       |     0.46264      |
|  103  |  Discriminator   |      0.70581       |    0.51681     | 1.00000 | 1.00000 |      0.44892       |     0.46075      |
|  104  |  Discriminator   |      0.70565       |    0.51729     | 1.00000 | 1.00000 |      0.45062       |     0.46203      |
|  105  |  Discriminator   |      0.70514       |    0.51728     | 1.00000 | 1.00000 |      0.44686       |     0.46111      |
|  106  |  Discriminator   |      0.70501       |    0.51739     | 1.00000 | 1.00000 |      0.45107       |     0.46205      |
|  107  |  Discriminator   |      0.70492       |    0.51752     | 1.00000 | 1.00000 |      0.45084       |     0.46193      |
|  108  |  Discriminator   |      0.70516       |    0.51765     | 1.00000 | 1.00000 |      0.45264       |     0.46210      |
|  109  |  Discriminator   |      0.70494       |    0.51812     | 1.00000 | 1.00000 |      0.45030       |     0.46155      |
|  110  |  Discriminator   |      0.70475       |    0.51776     | 1.00000 | 1.00000 |      0.45098       |     0.46180      |
|  111  |  Discriminator   |      0.70441       |    0.51801     | 1.00000 | 1.00000 |      0.45113       |     0.46008      |
|  112  |  Discriminator   |      0.70451       |    0.51810     | 1.00000 | 1.00000 |      0.44883       |     0.46143      |
|  113  |  Discriminator   |      0.70443       |    0.51822     | 1.00000 | 1.00000 |      0.45016       |     0.46055      |
|  114  |  Discriminator   |      0.70450       |    0.51826     | 1.00000 | 1.00000 |      0.44687       |     0.46108      |
|  115  |  Discriminator   |      0.70410       |    0.51853     | 1.00000 | 1.00000 |      0.44980       |     0.46254      |
|  116  |  Discriminator   |      0.70414       |    0.51851     | 1.00000 | 1.00000 |      0.45204       |     0.46120      |
|  117  |  Discriminator   |      0.70419       |    0.51874     | 1.00000 | 1.00000 |      0.45154       |     0.46166      |
|  118  |  Discriminator   |      0.70350       |    0.51883     | 1.00000 | 1.00000 |      0.45571       |     0.46232      |
|  119  |  Discriminator   |      0.70372       |    0.51874     | 1.00000 | 1.00000 |      0.45146       |     0.46194      |
|  120  |  Discriminator   |      0.70401       |    0.51947     | 1.00000 | 1.00000 |      0.44905       |     0.46055      |
|  121  |  Discriminator   |      0.70377       |    0.51937     | 1.00000 | 1.00000 |      0.45348       |     0.46139      |
|  122  |  Discriminator   |      0.70353       |    0.51987     | 1.00000 | 1.00000 |      0.44594       |     0.46199      |
|  123  |  Discriminator   |      0.70319       |    0.51988     | 1.00000 | 1.00000 |      0.45454       |     0.46217      |
|  124  |  Discriminator   |      0.70357       |    0.51967     | 1.00000 | 1.00000 |      0.45216       |     0.46102      |
|  125  |  Discriminator   |      0.70316       |    0.51946     | 1.00000 | 1.00000 |      0.44829       |     0.46161      |
|  126  |  Discriminator   |      0.70297       |    0.51963     | 1.00000 | 1.00000 |      0.45310       |     0.46198      |
|  127  |  Discriminator   |      0.70302       |    0.52000     | 1.00000 | 1.00000 |      0.44969       |     0.46226      |
|  128  |  Discriminator   |      0.70333       |    0.52017     | 1.00000 | 1.00000 |      0.45482       |     0.46217      |
|  129  |  Discriminator   |      0.70305       |    0.51987     | 1.00000 | 1.00000 |      0.45285       |     0.46190      |
|  130  |  Discriminator   |      0.70292       |    0.52022     | 1.00000 | 1.00000 |      0.44670       |     0.46131      |
|  131  |  Discriminator   |      0.70286       |    0.52037     | 1.00000 | 1.00000 |      0.45089       |     0.46099      |
|  132  |  Discriminator   |      0.70261       |    0.52064     | 1.00000 | 1.00000 |      0.45136       |     0.46190      |
|  133  |  Discriminator   |      0.70244       |    0.52093     | 1.00000 | 1.00000 |      0.45337       |     0.46056      |
|  134  |  Discriminator   |      0.70238       |    0.52084     | 1.00000 | 1.00000 |      0.45294       |     0.46118      |
|  135  |  Discriminator   |      0.70210       |    0.52108     | 1.00000 | 1.00000 |      0.45371       |     0.46248      |
|  136  |  Discriminator   |      0.70210       |    0.52159     | 1.00000 | 1.00000 |      0.44730       |     0.46209      |
|  137  |  Discriminator   |      0.70187       |    0.52128     | 1.00000 | 1.00000 |      0.45101       |     0.46275      |
|  138  |  Discriminator   |      0.70209       |    0.52150     | 1.00000 | 1.00000 |      0.45259       |     0.46172      |
|  139  |  Discriminator   |      0.70188       |    0.52160     | 1.00000 | 1.00000 |      0.45242       |     0.46182      |
|  140  |  Discriminator   |      0.70165       |    0.52133     | 1.00000 | 1.00000 |      0.45197       |     0.46174      |
|  141  |  Discriminator   |      0.70210       |    0.52172     | 1.00000 | 1.00000 |      0.44786       |     0.46058      |
|  142  |  Discriminator   |      0.70144       |    0.52246     | 1.00000 | 1.00000 |      0.44913       |     0.46187      |
|  143  |  Discriminator   |      0.70175       |    0.52229     | 1.00000 | 1.00000 |      0.45427       |     0.46182      |
|  144  |  Discriminator   |      0.70122       |    0.52192     | 1.00000 | 1.00000 |      0.45143       |     0.46233      |
|  145  |  Discriminator   |      0.70178       |    0.52261     | 1.00000 | 1.00000 |      0.44846       |     0.46131      |
|  146  |  Discriminator   |      0.70105       |    0.52246     | 1.00000 | 1.00000 |      0.45145       |     0.46188      |
|  147  |  Discriminator   |      0.70075       |    0.52200     | 1.00000 | 1.00000 |      0.45211       |     0.46176      |
|  148  |  Discriminator   |      0.70117       |    0.52259     | 1.00000 | 1.00000 |      0.45298       |     0.46223      |
|  149  |  Discriminator   |      0.70074       |    0.52219     | 1.00000 | 1.00000 |      0.45209       |     0.46254      |
|  150  |  Discriminator   |      0.70032       |    0.52294     | 1.00000 | 1.00000 |      0.44805       |     0.46127      |
|  151  |  Discriminator   |      0.70063       |    0.52263     | 1.00000 | 1.00000 |      0.44929       |     0.46113      |
|  152  |  Discriminator   |      0.70036       |    0.52347     | 1.00000 | 1.00000 |      0.45501       |     0.46145      |
|  153  |  Discriminator   |      0.70035       |    0.52336     | 1.00000 | 1.00000 |      0.44831       |     0.46155      |
|  154  |  Discriminator   |      0.70024       |    0.52389     | 1.00000 | 1.00000 |      0.45270       |     0.46315      |
|  155  |  Discriminator   |      0.69975       |    0.52378     | 1.00000 | 1.00000 |      0.44894       |     0.46200      |
|  156  |  Discriminator   |      0.69992       |    0.52391     | 1.00000 | 1.00000 |      0.44662       |     0.46220      |
|  157  |  Discriminator   |      0.69997       |    0.52347     | 1.00000 | 1.00000 |      0.44682       |     0.46036      |
|  158  |  Discriminator   |      0.69941       |    0.52350     | 1.00000 | 1.00000 |      0.45588       |     0.46248      |
